School Name,County Name (School),District Name (School),School Type (School),Census Day Enrollment (School),English Learners % (School),American Indian or Alaska Native % (School),Asian % (School),Black or African American % (School),Filipino % (School),Hispanic or Latino % (School),Native Hawaiian or Pac Islander % (School),Two or More Races % (School),None Reported % (School),White % (School),Free/Reduced Meals % (School),Per Pupil Ratio: Teacher (School),Avg Years Teaching (School),Suspension Rate (School),SAT Avg Results-Mathematics # (School),SAT Avg Results-Writing # (School)
Life Learning Academy Charter (San Francisco Unified),San Francisco,San Francisco Unified,High School,22,9.1,0,0,59.1,0,40.9,0,0,0,0,59.1,7.3,12,0,N/A,N/A
Lighthouse Community Charter High (Oakland Unified),Alameda,Oakland Unified,High School,260,10.8,0,2.3,8.5,0.8,83.8,0,1.9,0,2.7,80.4,17.9,5,2.3,463,433
Lincoln (Abraham) High (San Francisco Unified),San Francisco,San Francisco Unified,High School,2046,16.4,0.9,56.2,5.5,4.3,21.5,0.8,1,3.1,6.7,51.8,20.2,14,1.2,521,451
Lincoln High (Western Placer Unified),Placer,Western Placer Unified,High School,1731,6.6,1.2,3.4,1.4,2.5,30.6,0.3,3,0.1,57.5,31,23.3,13,7.7,424,400
Lincoln High (Lincoln Unified),San Joaquin,Lincoln Unified,High School,2839,9.4,0.5,9.2,11.3,5.1,43.2,1.4,2.4,0,26.9,52,18.5,12,7,486,465
Lincoln High (San Diego Unified),San Diego,San Diego Unified,High School,1448,29.3,0.1,4.4,18.4,1.7,69.5,1.7,2.1,0.6,1.7,89.2,25.2,8,5.1,533,508
Linda Esperanza Marquez High A Huntington Park Institute of Applied Medicine (Los Angeles Unified),Los Angeles,Los Angeles Unified,High School,686,16.9,0,0,0.1,0,97.7,0,0,0.3,1.9,89.9,26.1,12,0,398,416
Linda Esperanza Marquez High B LIBRA Academy (Los Angeles Unified),Los Angeles,Los Angeles Unified,High School,634,11.7,0.2,0,0.3,0,98.7,0,0,0.3,0.5,88.3,26.1,14,0,422,423
Linda Esperanza Marquez High C School of Social Justice (Los Angeles Unified),Los Angeles,Los Angeles Unified,High School,580,15.9,0.2,0,0.2,0,98.3,0,0,0.5,0.9,90.2,22.3,11,0,431,425
Linden High (Linden Unified),San Joaquin,Linden Unified,High School,690,8.1,0.7,2.5,1,1.4,52.5,0.4,1.2,0,40.3,51.6,21.1,9,6.7,466,456
Lindhurst High (Marysville Joint Unified),Yuba,Marysville Joint Unified,High School,1122,24.2,2,14.3,4,1,52.1,0.3,1.7,0.7,24,84,23,12,10.7,456,418
Lindsay Senior High (Lindsay Unified),Tulare,Lindsay Unified,High School,1090,35,0.3,2,0.2,0.1,92.7,0.2,0,0,4.6,86,22.4,9,12.2,391,407
Littlerock High (Antelope Valley Union High),Los Angeles,Antelope Valley Union High,High School,1537,17.2,0.7,0.1,6.5,0.1,77.4,0.1,2.7,0,12.4,82.6,21.7,12,8.1,412,426
Live Oak High (Morgan Hill Unified),Santa Clara,Morgan Hill Unified,High School,1099,8.1,0.3,5.6,2.2,2,49.5,0.6,0.4,0.7,38.7,37.9,21.8,14,9.1,505,499
Live Oak High (Live Oak Unified),Sutter,Live Oak Unified,High School,506,3.4,0.6,14.8,0,0.2,56.9,0.2,0,0,27.3,74.1,23.1,9,3.5,467,458
Livermore High (Livermore Valley Joint Unified),Alameda,Livermore Valley Joint Unified,High School,1794,6.7,0.3,5.7,1.8,3.3,29.3,0.5,6.1,0.3,52.7,20.3,22,11,2.9,555,545
Livermore Valley Charter Preparatory High (Livermore Valley Joint Unified),Alameda,Livermore Valley Joint Unified,High School,424,2.1,0,7.5,1.9,1.7,24.1,0,7.5,15.3,42,10.1,16.3,3,7.3,501,511
Livingston High (Merced Union High),Merced,Merced Union High,High School,1124,9.5,0.4,12.1,0.1,0.4,80.5,0.4,0.4,0,5.7,87.7,21.8,12,4.8,445,431
Loara High (Anaheim Union High),Orange,Anaheim Union High,High School,2303,24.5,0.3,8.7,2.1,3.2,75.9,0.6,1.2,0,8,76.8,26.5,14,4.2,458,434
Lodi High (Lodi Unified),San Joaquin,Lodi Unified,High School,2057,13.2,0.6,3.3,0.8,0.9,41.9,0.1,1.1,0.7,50.6,47.7,21.8,13,6.5,531,500
Lompoc High (Lompoc Unified),Santa Barbara,Lompoc Unified,High School,1398,22,0.9,1.6,3.9,0.6,76.9,0.5,3.6,0,12,70.7,21.4,13,4.3,466,452
Lone Pine High (Lone Pine Unified),Inyo,Lone Pine Unified,High School,105,21,12.4,2.9,1,0,41.9,0,4.8,0,37.1,47.6,15.8,9,2.7,516,525
Los Alamitos High (Los Alamitos Unified),Orange,Los Alamitos Unified,High School,3336,0.5,0.3,10.1,3.3,3.4,23.3,0.8,5.3,0,53.4,12.1,27.5,12,2.2,538,520
Los Altos High (Hacienda la Puente Unified),Los Angeles,Hacienda la Puente Unified,High School,2025,4.4,0,6.6,1.1,0.8,85.9,0.4,0.3,0,4.8,67.1,20.9,10,1.3,636,615
Los Altos High (Mountain View-Los Altos Union High),Santa Clara,Mountain View-Los Altos Union High,High School,2044,6.6,0,22.3,1.3,1.8,28,0.1,2.3,0,44.2,15.2,24.7,10,3.1,458,453
Los Amigos High (Garden Grove Unified),Orange,Garden Grove Unified,High School,1816,36.9,0,15.3,0.5,0.6,80.6,0.3,0.1,0.2,2.4,82.2,24.4,11,6.9,451,444
Los Angeles Academy of Arts & Enterprise Charter (Los Angeles Unified),Los Angeles,Los Angeles Unified,High School,382,38,0,0,0.8,0.8,96.3,0,0,1.8,0.3,98.7,27.1,3,1,392,370
Los Angeles Big Picture High (Los Angeles Unified),Los Angeles,Los Angeles Unified,High School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Los Angeles County Online High (Antelope Valley Union High),Los Angeles,Antelope Valley Union High,High School,249,10,0,2.4,14.5,0.4,47.8,0.4,0,0.4,34.1,54.6,23.2,4,0,N/A,N/A
Los Angeles High School of the Arts (Los Angeles Unified),Los Angeles,Los Angeles Unified,High School,430,20.7,0,9.5,2.8,5.3,79.3,0.2,0,0.7,2.1,86.5,17.8,11,0.2,424,424
Los Angeles International Charter High (Los Angeles County Office of Education),Los Angeles,Los Angeles County Office of Education,High School,230,4.3,0.4,0,2.2,1.7,94.3,0,0,0.4,0.9,75.2,17.7,3,3.7,440,431
Los Angeles Leadership Academy (Los Angeles Unified),Los Angeles,Los Angeles Unified,High School,538,18.2,0.7,3.7,0.2,0,90.9,0.2,0.4,2.2,1.7,87.7,16.8,2,5.9,402,411
Los Angeles River at Sonia Sotomayor Learning Academies (Los Angeles Unified),Los Angeles,Los Angeles Unified,High School,269,23,0,3,1.1,1.5,93.7,0,0,0.4,0.4,93.7,16.1,14,0.3,371,371
Los Angeles Senior High (Los Angeles Unified),Los Angeles,Los Angeles Unified,High School,1380,21.5,0.4,5,13,1.7,77.9,0.1,0.4,0.1,1.3,86.4,18.4,16,2.4,430,404
Los Angeles Teacher Preparatory Academy (Los Angeles Unified),Los Angeles,Los Angeles Unified,High School,205,64.4,1,2.4,0.5,0.5,93.7,0,0.5,0.5,1,76.6,18.4,10,0,329,314
Los Banos High (Los Banos Unified),Merced,Los Banos Unified,High School,1440,14.9,0.6,1.1,1.7,0.8,71,0.8,1,0,23,65.3,22.9,8,9.5,458,448
Los Gatos High (Los Gatos-Saratoga Joint Union High),Santa Clara,Los Gatos-Saratoga Joint Union High,High School,1977,2,0.1,9.9,0.6,0.4,9.9,0.2,9.7,1,68.3,2.6,21.5,10,2.2,604,585
Los Molinos High (Los Molinos Unified),Tehama,Los Molinos Unified,High School,173,5.8,1.7,0.6,1.2,0,45.7,0.6,1.7,0,48.6,68.2,15.4,13,4.1,0,0
Los Osos High (Chaffey Joint Union High),San Bernardino,Chaffey Joint Union High,High School,3198,2.7,0.4,14.2,8.1,2.5,35,0.6,1.4,0.3,37.5,32.6,27.3,14,2.5,538,505
Lowell High (San Francisco Unified),San Francisco,San Francisco Unified,High School,2685,1.8,0.3,56.7,1.9,7.9,9.9,0.9,2.1,5.1,15.2,39.7,19.6,15,0.1,627,580
Lower Lake High (Konocti Unified),Lake,Konocti Unified,High School,839,15.5,3.3,0.2,4.4,0.2,40,0.4,6.1,0.4,44.9,78.5,20.7,9,14.4,437,446
Loyalton High (Sierra-Plumas Joint Unified),Sierra,Sierra-Plumas Joint Unified,High School,158,3.2,1.3,0,0,0,15.8,0,1.3,1.9,79.7,32.3,16.6,9,1.8,0,0
LPS Oakland R & D Campus (Oakland Unified),Alameda,Oakland Unified,High School,337,27,0.3,0.6,6.2,0.6,88.4,0.6,0.3,3,0,93.5,21.1,3,8.1,371,381
Lucerne Valley High (Lucerne Valley Unified),San Bernardino,Lucerne Valley Unified,High School,222,3.2,0.9,2.3,3.6,0.9,46.4,0,2.3,0,43.7,77.9,18.2,11,18.6,476,426
Luis Valdez Leadership Academy (East Side Union High),Santa Clara,East Side Union High,High School,193,33.7,0,0.5,1.6,0,93.8,0,1,0,3.1,87,16.3,1,0,N/A,N/A
Luther Burbank High (Sacramento City Unified),Sacramento,Sacramento City Unified,High School,1712,22.3,0.8,25.9,22.8,1.3,39.3,4.4,1.9,0,3.6,80.1,17.8,12,13.6,407,382
Lynbrook High (Fremont Union High),Santa Clara,Fremont Union High,High School,1788,4.1,0.1,80.5,0.6,0.7,3.6,0.1,4,0,10.4,4.9,23,12,0.8,697,655
Lynwood High (Lynwood Unified),Los Angeles,Lynwood Unified,High School,2352,17.9,0,0.1,7.4,0,91.7,0.2,0,0,0.5,93.8,24,13,5.7,400,390
Madera High (Madera Unified),Madera,Madera Unified,High School,2139,8.5,0.3,2.5,1.9,0.3,82.2,0.1,0.7,0.2,11.8,74.7,24.1,12,16.4,452,435
Madera South High (Madera Unified),Madera,Madera Unified,High School,2916,17.1,0.7,0.6,2.7,0.2,90.3,0,0.1,0.2,5.2,89.1,23.4,9,10,414,403
Madison High (San Diego Unified),San Diego,San Diego Unified,High School,1125,7.6,0.2,7.7,11.7,2.6,45.7,1.4,7.5,0.4,22.8,66.8,19.7,14,8.7,457,445
Madison Park Academy 6-12 (Oakland Unified),Alameda,Oakland Unified,High School,691,32,0,2.3,13.9,0,81.2,1.2,0.3,0.3,0.9,97,20.3,6,3.2,N/A,N/A
Magnolia High (Anaheim Union High),Orange,Anaheim Union High,High School,1815,28.3,1.2,9.9,2.3,2.7,67.5,1.4,6.7,0,8.3,77.7,23.6,12,2.8,448,435
Magnolia Science Academy 2 (Los Angeles Unified),Los Angeles,Los Angeles Unified,High School,487,12.9,0,2.5,2.9,2.3,82.3,0.2,1,0,8.8,79.5,22.8,3,0.5,426,430
Magnolia Science Academy 3 (Los Angeles Unified),Los Angeles,Los Angeles Unified,High School,455,5.1,0.7,0.9,43.5,0.4,49.5,0.7,2.6,0,1.8,80.9,23.3,3,0.8,397,394
Magnolia Science Academy 4 (Los Angeles Unified),Los Angeles,Los Angeles Unified,High School,184,9.2,0,1.1,10.3,1.1,78.3,0.5,0.5,0.5,7.6,76.1,16.7,3,0,421,442
Magnolia Science Academy 5 (Los Angeles Unified),Los Angeles,Los Angeles Unified,High School,148,27.7,0,0.7,4.7,4.1,81.8,0,0.7,0,8.1,88.5,18.3,2,0,N/A,N/A
Magnolia Science Academy 6 (Los Angeles Unified),Los Angeles,Los Angeles Unified,High School,165,15.2,0,0.6,10.3,0,85.5,0,0.6,0,3,84.2,21.4,2,0.6,N/A,N/A
Magnolia Science Academy Santa Clara (Santa Clara County Office of Education),Santa Clara,Santa Clara County Office of Education,High School,100,6,0,51,12,1,13,1,3,0,19,33,10.2,2,5.1,0,0
Malibu High (Santa Monica-Malibu Unified),Los Angeles,Santa Monica-Malibu Unified,High School,1106,1.9,0.4,2.7,1.8,0.5,12.2,0.5,4.2,0,77.8,11.6,20.1,11,2.5,541,547
Mammoth High (Mammoth Unified),Mono,Mammoth Unified,High School,331,7.3,0.9,0.6,0.3,0.3,55.9,0,4.8,0,37.2,52.9,16,6,3.1,521,496
Manteca High (Manteca Unified),San Joaquin,Manteca Unified,High School,1511,11.8,0.7,6.6,5.2,4.1,54.1,0.9,1.1,0,27.3,50.6,20.6,12,20,490,465
Manual Arts Senior High (Los Angeles Unified),Los Angeles,Los Angeles Unified,High School,1553,26.7,0.1,0.2,17.2,0.1,80.1,0.2,0.2,0.1,1.9,89.7,18.5,11,1.7,364,371
Mar Vista Senior High (Sweetwater Union High),San Diego,Sweetwater Union High,High School,1656,19.9,0.2,0.3,1.9,4.2,76.1,0.4,6.2,0.2,10.4,65.3,25,14,3.7,472,447
Marco Antonio Firebaugh High (Lynwood Unified),Los Angeles,Lynwood Unified,High School,1831,16.8,0,0.1,4.6,0.1,94.2,0.4,0.1,0,0.6,86.8,23.5,10,4.1,408,402
Maria Carrillo High (Santa Rosa High),Sonoma,Santa Rosa High,High School,1603,4.1,0.6,8,2.5,1.6,23,0.6,7.5,0.1,56.1,16.8,23.7,9,4.6,593,560
Maricopa High (Maricopa Unified),Kern,Maricopa Unified,High School,81,13.6,1.2,0,0,0,28.4,0,2.5,0,67.9,85.2,8.7,5,18.3,0,0
Marina High (Monterey Peninsula Unified),Monterey,Monterey Peninsula Unified,High School,595,10.9,0.5,7.2,4.9,8.2,53.9,4.4,5.9,0,15,65.4,18.2,4,3.8,457,404
Marina High (Huntington Beach Union High),Orange,Huntington Beach Union High,High School,2408,3.5,3.9,18.6,0.9,1.7,20,0.7,2.2,1.3,50.6,18.7,24.8,12,9.2,563,527
Mariposa County High (Mariposa County Unified),Mariposa,Mariposa County Unified,High School,522,1.1,4.6,1.1,0.6,0.4,14.6,0.2,6.1,2.1,70.3,47.9,17,14,9.4,524,466
Mark Keppel High (Alhambra Unified),Los Angeles,Alhambra Unified,High School,2298,17,0.2,71.3,0.2,1.7,22,0,3,0,1.7,57.5,26.8,15,0.1,595,523
Marshall (Thurgood) High (San Francisco Unified),San Francisco,San Francisco Unified,High School,444,56.5,0.2,35.4,10.1,2.5,44.8,2.9,0.9,1.8,1.4,80.2,11.1,11,0.9,447,350
Marshall Fundamental (Pasadena Unified),Los Angeles,Pasadena Unified,High School,1971,7.9,0.1,4.1,9.2,1.4,61.9,0.2,3.3,0.8,19,63.3,23.6,10,6.7,462,461
Martin Luther King Jr. High (Riverside Unified),Riverside,Riverside Unified,High School,3348,2.5,0.2,7.4,9.3,2.9,32.1,0.8,2.1,1.3,43.8,30.9,25.7,12,3.5,520,485
Marysville Charter Academy for the Arts (Marysville Joint Unified),Yuba,Marysville Joint Unified,High School,376,3.7,2.7,4.5,2.4,0.3,36.4,0,8.5,0,45.2,44.4,18.3,10,1,500,513
Marysville High (Marysville Joint Unified),Yuba,Marysville Joint Unified,High School,893,7.6,4.8,7.7,5,0.7,29,0.4,1.7,0.7,49.9,61.9,23,14,7.4,509,481
Math and Science College Preparatory (Los Angeles Unified),Los Angeles,Los Angeles Unified,High School,396,16.9,0.5,2,11.9,1,83.3,0.3,0.3,0,0.8,88.1,16.8,2,1,N/A,N/A
"Math, Science, & Technology Magnet Academy at Roosevelt High (Los Angeles Unified)",Los Angeles,Los Angeles Unified,High School,467,2.4,0.2,0.6,0.2,0,97.9,0,0,0,1.1,89.5,22.8,12,0,450,424
Mattole Triple Junction High (Mattole Unified),Humboldt,Mattole Unified,High School,9,N/A,0,0,0,0,0,0,0,0,100,0,2.2,6,0,0,0
Maxwell Sr High (Maxwell Unified),Colusa,Maxwell Unified,High School,108,21.3,6.5,0.9,0,0,49.1,0,0.9,0,42.6,12,19.7,9,26.6,0,0
Mayfair High (Bellflower Unified),Los Angeles,Bellflower Unified,High School,3023,8.4,0.2,5.2,15.5,5.8,51.9,0.9,3.7,0,16.7,54.6,22.3,13,9.6,506,484
Maywood Academy High (Los Angeles Unified),Los Angeles,Los Angeles Unified,High School,1377,15.4,0.1,0.1,0,0.1,98.9,0,0,0,0.7,88.6,24.2,13,0.3,412,424
McCloud High (Siskiyou Union High),Siskiyou,Siskiyou Union High,High School,12,N/A,0,0,0,0,8.3,0,25,0,66.7,100,6,8,42.9,N/A,N/A
McClymonds High (Oakland Unified),Alameda,Oakland Unified,High School,318,5,0.3,3.5,79.6,0.3,7.5,0.9,0.9,3.1,3.8,84.9,18.6,7,18.1,359,360
McFarland High (McFarland Unified),Kern,McFarland Unified,High School,860,19.3,0.1,0.3,0.8,0.3,97,0,0,0,1.4,83.4,23.3,10,5.8,398,382
McKinleyville High (Northern Humboldt Union High),Humboldt,Northern Humboldt Union High,High School,621,1.6,7.4,0.6,1,0,9.7,0.2,12.1,0.5,68.6,34.8,17.8,9,8.6,509,486
McLane High (Fresno Unified),Fresno,Fresno Unified,High School,1774,22,0.4,18.6,7.7,0.2,68.3,0.3,0.7,0,3.8,94,23.1,13,9.3,386,372
Mendocino High (Mendocino Unified),Mendocino,Mendocino Unified,High School,192,1.6,2.1,2.1,1.6,0.5,8.9,0.5,0.5,1.6,82.3,24,12.9,9,6.6,544,544
Mendota High (Mendota Unified),Fresno,Mendota Unified,High School,844,51.1,0,0,0,0,98.8,0,0,0.6,0.6,96.1,24,8,8,403,396
Menlo-Atherton High (Sequoia Union High),San Mateo,Sequoia Union High,High School,2275,14,0.5,4.7,4,0.7,42.7,3.9,3.3,0,40.3,33.2,19.4,10,5.1,589,580
Merced High (Merced Union High),Merced,Merced Union High,High School,1706,7.3,0.8,9.9,7.2,1.8,59.3,0.2,1.2,0.1,19.6,74.9,20.4,13,4.8,494,456
Merced Scholars Charter (Merced County Office of Education),Merced,Merced County Office of Education,High School,107,4.7,0,0.9,3.7,0,68.2,0,3.7,0,23.4,59.8,29.7,10,0,N/A,N/A
Merrill F. West High (Tracy Joint Unified),San Joaquin,Tracy Joint Unified,High School,2099,17.4,0.6,10.3,7.9,6.3,52.9,1.3,3.3,0,17.3,49.3,23.5,13,21.9,483,458
Mesa Verde High (San Juan Unified),Sacramento,San Juan Unified,High School,939,6.8,1.4,2.7,6.7,1.7,29.3,0.6,0.4,0,57.2,64.7,20.1,13,19.4,452,460
Method Schools High (Acton-Agua Dulce Unified),Los Angeles,Acton-Agua Dulce Unified,High School,6,N/A,0,16.7,0,0,33.3,0,0,16.7,33.3,0,4,1,0,N/A,N/A
MetWest High (Oakland Unified),Alameda,Oakland Unified,High School,163,16,0.6,4.9,27,1.2,58.3,0,1.8,0.6,5.5,78.5,15.2,6,1.8,388,386
Middle College High (West Contra Costa Unified),Contra Costa,West Contra Costa Unified,High School,278,1.1,0,12.9,21.9,5.8,51.1,1.8,0.7,0,5.8,46.4,30.8,12,0,437,429
Middle College High (San Jose Unified),Santa Clara,San Jose Unified,High School,52,N/A,0,11.5,5.8,0,26.9,1.9,7.7,0,46.2,26.9,26,11,1.5,510,508
Middle College High (Lodi Unified),San Joaquin,Lodi Unified,High School,246,0.8,1.2,45.5,3.3,11.8,24,1.6,0,3.7,8.9,42.7,27.8,17,5.2,N/A,N/A
Middle College High (Los Angeles Unified),Los Angeles,Los Angeles Unified,High School,387,0.8,0.5,0.3,36.2,0.3,61.5,0,0.5,0,0.8,72.1,31,17,0,578,557
Middletown High (Middletown Unified),Lake,Middletown Unified,High School,466,5.6,1.3,0.2,0.4,0.4,21,0.6,3,1.1,71.9,65.7,19.6,16,7.2,515,477
Millennium Charter (Tracy Joint Unified),San Joaquin,Tracy Joint Unified,High School,510,6.3,0.6,9.4,7.1,3.1,49,0.2,3.1,0,27.5,18.2,19.8,7,9.1,502,495
Millennium Charter High (Monterey County Office of Education),Monterey,Monterey County Office of Education,High School,192,5.2,1,2.6,3.6,2.6,42.7,0,5.7,0,41.7,6.8,1457.9,2,0,450,452
Millikan High (Long Beach Unified),Los Angeles,Long Beach Unified,High School,3616,7.3,0.2,3.8,9,2.8,51.5,0.7,1.5,1.5,28.9,44.5,24.1,16,2.9,467,466
Mills High (San Mateo Union High),San Mateo,San Mateo Union High,High School,1198,8.9,0.1,48.4,0.2,10.9,17.1,2.2,7.2,0,14,14.3,21.1,11,1.5,607,573
Milpitas High (Milpitas Unified),Santa Clara,Milpitas Unified,High School,3134,12.2,0.1,43.5,3.2,22.8,20.5,0.7,2.3,0,6.8,31.6,25.6,13,2.7,552,507
Minarets Charter High (Chawanakee Unified),Madera,Chawanakee Unified,High School,253,0.4,4.3,2.4,2,0,23.3,0.8,0.4,0,66.8,29.6,24.9,4,4.1,476,465
Minarets High (Chawanakee Unified),Madera,Chawanakee Unified,High School,230,N/A,8.7,0.4,2.2,0,17.8,0,0.9,0,70,41.7,20.1,4,4.9,450,462
Mira Costa High (Manhattan Beach Unified),Los Angeles,Manhattan Beach Unified,High School,2437,1,0,9,5.5,1.1,15.4,0.2,10.8,0,58,5.5,22.7,8,1.8,585,573
Mira Loma High (San Juan Unified),Sacramento,San Juan Unified,High School,1681,9,0.5,25.9,8.9,3.2,18.6,1.3,0.5,0.1,40.9,46.4,24.7,11,6.5,624,599
Mira Mesa High (San Diego Unified),San Diego,San Diego Unified,High School,2426,7.8,0.2,20.3,4.7,28.9,22.4,0.7,8.5,0.5,13.8,45.1,23.4,16,4.3,520,480
Mira Monte High (Kern High),Kern,Kern High,High School,2159,19.2,0.4,1.3,5.1,0.2,88.6,0,0.1,0.6,3.7,91,25.9,7,8.5,415,402
Miramonte High (Acalanes Union High),Contra Costa,Acalanes Union High,High School,1232,0.4,0.2,13.9,1.7,1.2,8.3,0.6,9.6,1.3,63.3,1.1,20.1,11,2.7,610,609
Mirus Secondary (Hesperia Unified),San Bernardino,Hesperia Unified,High School,244,8.2,1.2,0.4,7.4,0.4,56.6,0.4,1.2,0.8,31.6,71.3,14.4,3,0.1,0,0
Mission Bay High (San Diego Unified),San Diego,San Diego Unified,High School,1054,10.6,0.5,2.4,7.6,0.6,59,0.4,4,0.4,25.2,66.9,18.7,14,5.7,448,422
Mission High (San Francisco Unified),San Francisco,San Francisco Unified,High School,1058,37.5,0.8,14.5,15.4,3.4,50.3,0.9,1,3.2,10.6,68.1,13.5,12,2.1,444,408
Mission Hills High (San Marcos Unified),San Diego,San Marcos Unified,High School,2531,7.9,0.2,4,3,3.3,51.8,0.8,1.8,0.3,34.7,40.7,25.9,9,2.5,491,487
Mission Oak High (Tulare Joint Union High),Tulare,Tulare Joint Union High,High School,1464,18.9,0.6,1.4,2.3,0.3,74,0.1,0.3,0.3,20.6,67,24.4,13,2.6,460,436
Mission San Jose High (Fremont Unified),Alameda,Fremont Unified,High School,2069,2.9,0,90.1,0.5,1.6,1.6,0.1,0.4,0,5.6,4.1,24.3,12,0.8,706,677
Mission Viejo High (Saddleback Valley Unified),Orange,Saddleback Valley Unified,High School,2407,6.9,0.3,6.2,1.7,2.7,27.6,0.5,4.1,0.5,56.5,19.2,25.3,14,1.6,550,519
Mission View Public (William S. Hart Union High),Los Angeles,William S. Hart Union High,High School,1574,21.5,0.4,0.7,13.2,0.4,72.1,0.3,2.4,0.8,9.7,85.5,22.5,3,0.3,0,0
MIT Academy (Vallejo City Unified),Solano,Vallejo City Unified,High School,414,2.2,0.5,2.9,15,17.1,50.2,0.7,0.2,0.5,12.8,60.1,25.8,3,9.3,N/A,N/A
Modesto High (Modesto City High),Stanislaus,Modesto City High,High School,2450,12.5,0.5,9.2,2.9,0.9,67.6,0.3,3.1,3.3,12,77.8,24.7,9,4.6,491,486
Modoc High (Modoc Joint Unified),Modoc,Modoc Joint Unified,High School,220,2.3,7.7,1.4,2.3,0.5,15.5,0,0.5,0.9,71.4,40.9,16.1,11,14,486,457
Mojave Jr./Sr. High (Mojave Unified),Kern,Mojave Unified,High School,273,17.6,1.5,0.4,20.1,1.1,58.2,0,2.9,0,15.8,85,18.1,11,12.9,0,0
Monache High (Porterville Unified),Tulare,Porterville Unified,High School,1781,18.1,0.7,2.2,0.7,4.6,72.1,0.1,1.5,0.1,18,65.5,22.5,13,6.9,475,465
Monrovia High (Monrovia Unified),Los Angeles,Monrovia Unified,High School,1781,4.3,0.5,3.2,9.3,2.8,59.6,0.1,1.9,0,22.6,49,24.4,12,3.6,499,481
Monta Vista High (Fremont Union High),Santa Clara,Fremont Union High,High School,2326,2.8,0,77.8,0.2,0.9,2.5,0,3.7,0,14.8,2.5,25,11,0.3,710,676
Montclair High (Chaffey Joint Union High),San Bernardino,Chaffey Joint Union High,High School,2989,17.9,0.5,3.6,2.1,0.6,86.3,0.3,0.4,1.2,5,88.3,25.7,13,4.9,460,429
Monte Vista High (Grossmont Union High),San Diego,Grossmont Union High,High School,1702,11.2,0.1,1.2,12.3,3.6,59.7,0.8,6.9,0,15.5,75.1,20.9,14,6.6,478,427
Monte Vista High (San Ramon Valley Unified),Contra Costa,San Ramon Valley Unified,High School,2348,0.5,0.3,16.4,0.9,2.4,7.9,0.2,6.1,0,65.9,2.3,22.7,11,1.2,603,582
Montebello High (Montebello Unified),Los Angeles,Montebello Unified,High School,2734,15.3,0.2,0.5,0.5,0.7,95.3,0.1,0.2,0,2.4,87.1,25.5,15,4.3,451,436
Monterey High (Monterey Peninsula Unified),Monterey,Monterey Peninsula Unified,High School,1277,9.8,0.1,5.7,5.2,2.9,45.7,1.3,8.5,0,30.5,45.8,19.9,8,5.1,473,462
Monterey Trail High (Elk Grove Unified),Sacramento,Elk Grove Unified,High School,2302,13.3,0.3,34.6,17.5,7.1,27.1,3.3,4.6,0,5.5,69.8,22.2,12,6.1,470,445
Montgomery High (Santa Rosa High),Sonoma,Santa Rosa High,High School,1624,11.7,0.9,4.1,3.1,1.2,44.1,0.6,4.9,0.7,40.3,32,23.1,14,5.6,559,524
Montgomery Senior High (Sweetwater Union High),San Diego,Sweetwater Union High,High School,1684,24.3,0.1,0.3,1.4,6.7,87.6,0.2,2.6,0,1.2,64.3,22,13,7.6,448,423
Moorpark High (Moorpark Unified),Ventura,Moorpark Unified,High School,2004,7.5,0.3,5.9,2,1.7,42.2,0.1,2.6,0,45.1,24.7,22.6,12,2.4,547,526
Moreno Valley Community Learning Center (Moreno Valley Unified),Riverside,Moreno Valley Unified,High School,34,14.7,0,2.9,26.5,0,55.9,0,2.9,0,11.8,91.2,6,6,36.9,N/A,N/A
Moreno Valley High (Moreno Valley Unified),Riverside,Moreno Valley Unified,High School,2335,14.6,0.2,1.5,12.8,0.8,78.3,1.4,1.1,0,4,88.5,24.2,11,5.9,410,416
Morningside High School (Inglewood Unified),Los Angeles,Inglewood Unified,High School,897,25.4,0.8,0.1,27.5,0.1,69.1,1.6,0,0.2,0.6,71.6,22.5,11,9.5,367,373
Morro Bay High (San Luis Coastal Unified),San Luis Obispo,San Luis Coastal Unified,High School,860,5.6,0.6,2.7,1,4.7,21.6,0,3.7,0,65.7,37.7,20.7,11,4,528,498
Morse High (San Diego Unified),San Diego,San Diego Unified,High School,1773,11.7,0.3,2.6,17.6,36.4,32.8,1.9,5.6,0.6,2.2,81.2,21.7,15,4.6,476,448
Mount Miguel High (Grossmont Union High),San Diego,Grossmont Union High,High School,1397,16.7,0.2,2.2,18.3,3.6,59.7,1.1,5.2,0,9.7,78.5,20.1,15,6.7,448,423
Mountain Empire High (Mountain Empire Unified),San Diego,Mountain Empire Unified,High School,384,26.6,4.4,0.5,2.9,0.3,51.3,1,1.6,0,38,63.3,15.2,13,12.9,448,444
Mountain High (Summerville Union High),Tuolumne,Summerville Union High,High School,4,N/A,25,0,0,0,0,0,0,0,75,0,2,7,0,N/A,N/A
Mountain House High (Lammersville Joint Unified),San Joaquin,Lammersville Joint Unified,High School,823,4.5,0.5,23.2,9.1,16.3,19.6,1,4.6,1,24.8,16,22.2,2,4.5,507,463
Mountain Oaks High (Chawanakee Unified),Madera,Chawanakee Unified,High School,18,N/A,16.7,0,0,0,11.1,0,22.2,0,50,100,6,11,15.6,N/A,N/A
