School Name,County Name (School),District Name (School),School Type (School),Census Day Enrollment (School),English Learners % (School),American Indian or Alaska Native % (School),Asian % (School),Black or African American % (School),Filipino % (School),Hispanic or Latino % (School),Native Hawaiian or Pac Islander % (School),Two or More Races % (School),None Reported % (School),White % (School),Free/Reduced Meals % (School),Per Pupil Ratio: Teacher (School),Avg Years Teaching (School),Suspension Rate (School),SAT Avg Results-Mathematics # (School),SAT Avg Results-Writing # (School)
Everett Alvarez High (Salinas Union High),Monterey,Salinas Union High,High School,2466,21.8,0,0.9,1.1,2.9,84.5,0.2,0.8,0,9.5,58,22.7,8,6,448,453
Evergreen Valley High (East Side Union High),Santa Clara,East Side Union High,High School,2809,6.1,0,65.5,1.5,8,18,0.4,1.9,0,4.6,17,25.4,12,1.3,611,579
Excelsior Charter (Victor Valley Union High),San Bernardino,Victor Valley Union High,High School,1939,2.3,0.8,0.8,9.4,0.6,38.8,0.5,5.2,3.1,40.8,51.8,25.1,5,0,488,462
Executive Preparatory Academy of Finance (Los Angeles Unified),Los Angeles,Los Angeles Unified,High School,202,7.9,0,0.5,82.7,0,15.8,0,0.5,0.5,0,87.1,18.4,1,1.8,N/A,N/A
Exeter Union High (Exeter Unified),Tulare,Exeter Unified,High School,923,10.3,0.5,0.5,0.8,0.5,49.5,0.1,1.1,0.5,46.4,54.5,23.2,10,3.5,470,472
Fairfax Senior High (Los Angeles Unified),Los Angeles,Los Angeles Unified,High School,2047,8.4,0.2,14.9,17,3.9,54.7,0.1,0.7,0.6,7.8,76.5,23.9,17,0.2,478,452
Fairfield High (Fairfield-Suisun Unified),Solano,Fairfield-Suisun Unified,High School,1443,8.5,0.6,4.3,21.3,9.9,41.1,2.1,7.5,0,13.1,64.1,23,9,12.6,443,432
Fall River Junior-Senior High (Fall River Joint Unified),Shasta,Fall River Joint Unified,High School,241,3.3,10,0,0.4,0,27,0,2.9,0.4,59.3,49,16.3,8,6.3,0,0
Fallbrook High (Fallbrook Union High),San Diego,Fallbrook Union High,High School,2071,12.8,1.1,1,2.1,1.1,61.9,0.5,1.1,0.8,30.4,57.2,22.9,10,7.2,500,467
Family First Charter (Centinela Valley Union High),Los Angeles,Centinela Valley Union High,High School,669,40.1,0.4,1.6,14.5,1.3,73.2,1,1.2,0.6,6,6.4,51.5,2,0,N/A,N/A
Farmersville High (Farmersville Unified),Tulare,Farmersville Unified,High School,749,21.4,0.3,0.1,0.3,0,94.9,0.1,0,0,4.3,85.4,22.7,8,5,392,388
Felicitas and Gonzalo Mendez High (Los Angeles Unified),Los Angeles,Los Angeles Unified,High School,913,14.8,0.4,0.3,1,0.1,96.4,0,0.4,0.7,0.7,89.3,19,12,0.8,407,400
Ferndale High (Ferndale Unified),Humboldt,Ferndale Unified,High School,162,3.1,1.2,0.6,0,0,17.9,0,0.6,0,79.6,38.9,14,8,7.7,505,474
Fillmore Senior High (Fillmore Unified),Ventura,Fillmore Unified,High School,982,9.7,0.3,0.1,0.2,0.1,89,0,0.6,0,9.7,73,20.9,10,5.2,486,443
