"Census Day Enrollment (School)","English Learners % (School)","American Indian or Alaska Native % (School)","Asian % (School)","Black or African American % (School)","Filipino % (School)","Hispanic or Latino % (School)","Native Hawaiian or Pac Islander % (School)","Two or More Races % (School)","None Reported % (School)","White % (School)","Free/Reduced Meals % (School)","Per Pupil Ratio: Teacher (School)","Avg Years Teaching (School)","Suspension Rate (School)","SAT Avg Results-Mathematics # (School)","SAT Avg Results-Writing # (School)","Current Exp of Educ per ADA (Ed Code 41372) (District)","Gen Fund Exp by Activity - 1000-1999 Instruction Exp % (District)","Gen Fund Exp by Activity - 2000-2999 Instruc-related Svcs Exp % (District)","Gen Fund Exp by Activity - 3000-3999 Pupil Services Exp % (District)","Gen Fund Exp by Activity - 4000-4999 Ancillary Services Exp % (District)","Gen Fund Exp by Activity - 5000-5999 Community Services Exp % (District)","Gen Fund Exp by Activity - 6000-6999 Enterprise Exp % (District)","Gen Fund Exp by Activity - 7000-7999 General Administration Exp % (District)","Gen Fund Exp by Activity - 8000-8999 Plant Services Exp % (District)","Teacher Salary-Avg (District)"
381,12.6,0.3,1.6,1.6,1,40.7,0,3.7,0.3,50.9,45.4,18.1,5,6.1,465,456,10826,59,9,13,1,0,0,6,12,55416
671,31.3,0.4,0.3,1,0.1,82.4,0.1,0.3,0,15.2,74.4,18,11,7.2,454,432,11720,59,11,6,1,0,0,7,12,66398
566,16.8,0.9,0.4,1.1,0.5,82,0.2,0,0.2,14.8,83.6,19.7,11,5.1,430,406,10421,59,11,10,2,0,0,7,12,66403
2128,12.4,0.3,1.7,4.9,0.3,76.4,0.2,1.1,0.5,14.5,79.9,26.9,12,6.8,533,505,10485,65,12,7,1,0,0,4,10,87199
1928,14.5,0.2,2.4,6.1,0.9,69.9,0.7,0.8,0.7,18.4,69.1,23.1,15,5.6,441,438,10485,65,12,7,1,0,0,4,10,87199
2274,11.6,0.3,3.6,11.1,1,71.1,0.4,1.4,0.6,10.6,76.3,23.4,13,7.7,466,453,10485,65,12,7,1,0,0,4,10,87199
3348,2.5,0.2,7.4,9.3,2.9,32.1,0.8,2.1,1.3,43.8,30.9,25.7,12,3.5,520,485,10485,65,12,7,1,0,0,4,10,87199
2744,8.5,0.5,2,6.2,0.9,57,0.4,1.1,0.7,31.2,52,25.1,13,4.3,487,473,10485,65,12,7,1,0,0,4,10,87199
1913,0.7,0.4,8,1.8,5,12.7,0.4,6.9,0.1,64.7,18.2,24,9,2.8,542,513,8860,64,11,6,1,0,0,5,11,74097
1947,2.3,0.4,6.2,1.3,3.1,14.6,0.6,5.9,0.2,67.8,13.6,24.7,13,3.8,559,527,8860,64,11,6,1,0,0,5,11,74097
2043,0.9,0.2,10.8,1.4,2.6,10.7,0.3,6.2,0.4,67.4,8,23.5,14,3,587,555,9884,59,12,12,2,0,0,6,9,82010
2221,1.7,0.4,5.4,2.7,3.3,16.5,0.1,6.2,1.2,64.2,17.5,23.3,15,3.1,533,502,9884,59,12,12,2,0,0,6,9,82010
1961,4.6,0.4,4.9,3.7,4.7,23.8,1,2.3,0.1,59.2,32.2,22.2,13,6.7,518,496,9884,59,12,12,2,0,0,6,9,82010
1882,3.9,0.6,7.3,3.2,6.2,19,0.4,4.1,0.4,58.7,23.8,22.4,10,5.6,521,500,9884,59,12,12,2,0,0,6,9,82010
1832,6.3,0.3,11.6,8.8,2,19.4,1.4,7.1,0.8,48.5,45.4,24,7,5.9,476,465,9884,59,12,12,2,0,0,6,9,82010
1966,17.6,0.1,2.1,2,9.4,83.9,0.2,0.2,0.3,1.8,75.7,25,13,8.2,430,422,11517,60,15,7,0,0,0,7,9,82902
2221,11.3,0,41.8,1.5,10.2,40.2,0.5,1.2,0.2,4.4,53.3,26.4,16,3.7,572,526,11517,60,15,7,0,0,0,7,9,82902
238,16,0.8,2.1,14.7,0.8,57.6,0.4,3.4,0,20.2,71.8,14.3,11,7.3,418,430,10974,61,13,9,0,0,0,4,13,70343
2221,10.6,0.7,28.2,19.5,2.6,29,1.8,5.8,0,12.4,61.2,24.6,13,5.6,352,345,10974,61,13,9,0,0,0,4,13,70343
2268,9,0.7,17.7,9.7,1.2,39.2,1.2,5.8,0,24.6,58.2,25.3,14,4.5,521,500,10974,61,13,9,0,0,0,4,13,70343
852,1.5,0.2,32.3,6.2,1.9,34,0.5,6.5,0,18.4,62.8,26.6,13,0.2,536,525,10974,61,13,9,0,0,0,4,13,70343
1543,23.1,0.7,29.2,14.1,1.1,43.6,1.6,1.9,0,7.9,87.8,21.1,10,11.4,430,389,10974,61,13,9,0,0,0,4,13,70343
952,5.7,0.4,1.3,60.9,0.2,26.1,0.3,9.3,0,1.5,71.6,18.1,3,16.3,398,399,10974,61,13,9,0,0,0,4,13,70343
214,13.6,0,10.3,24.8,0.5,49.5,4.7,1.9,0,8.4,79.9,14.4,10,16.3,461,448,10974,61,13,9,0,0,0,4,13,70343
