"Census Day Enrollment (School)","English Learners % (School)","American Indian or Alaska Native % (School)","Asian % (School)","Black or African American % (School)","Filipino % (School)","Hispanic or Latino % (School)","Native Hawaiian or Pac Islander % (School)","Two or More Races % (School)","None Reported % (School)","White % (School)","Free/Reduced Meals % (School)","Per Pupil Ratio: Teacher (School)","Avg Years Teaching (School)","Suspension Rate (School)","SAT Avg Results-Mathematics # (School)","SAT Avg Results-Writing # (School)","Current Exp of Educ per ADA (Ed Code 41372) (District)","Gen Fund Exp by Activity - 1000-1999 Instruction Exp % (District)","Gen Fund Exp by Activity - 2000-2999 Instruc-related Svcs Exp % (District)","Gen Fund Exp by Activity - 3000-3999 Pupil Services Exp % (District)","Gen Fund Exp by Activity - 4000-4999 Ancillary Services Exp % (District)","Gen Fund Exp by Activity - 5000-5999 Community Services Exp % (District)","Gen Fund Exp by Activity - 6000-6999 Enterprise Exp % (District)","Gen Fund Exp by Activity - 7000-7999 General Administration Exp % (District)","Gen Fund Exp by Activity - 8000-8999 Plant Services Exp % (District)","Teacher Salary-Avg (District)"
278,1.1,0,12.9,21.9,5.8,51.1,1.8,0.7,0,5.8,46.4,30.8,12,0,437,429,10591,54,14,10,2,0,0,8,11,63252
1160,14.1,0.1,14.6,16.6,9.2,43.3,0.5,1.9,0,13.8,61,22.3,13,5.8,408,405,10591,54,14,10,2,0,0,8,11,63252
511,18.4,0.2,1.8,6.5,0.4,90.8,0,0.2,0,0.2,91.6,19.8,3,5.2,413,391,10591,54,14,10,2,0,0,8,11,63252
858,32.6,0,5.5,25.3,1.7,63.6,0.9,0.7,0.1,2.1,80.7,20.5,8,18.7,492,473,10591,54,14,10,2,0,0,8,11,63252
1329,16.2,0.1,13.1,23.2,7.5,43.6,1.3,1.6,0,9.7,68.1,22.9,6,11.5,376,384,10591,54,14,10,2,0,0,8,11,63252
980,8,0.1,18.7,26.7,25.7,19.4,0.7,1.4,0.2,7,42.2,26.8,12,6.4,434,434,10591,54,14,10,2,0,0,8,11,63252
1429,11.6,0.3,18.3,27.6,3.8,27.3,0.7,1.6,0.1,20.2,51.1,26.2,9,6.8,462,438,10591,54,14,10,2,0,0,8,11,63252
259,6.9,3.5,0.4,16.2,0.4,42.9,0.4,5.4,3.5,27.4,77.6,22.8,1,0,485,507,11511,59,14,8,1,0,0,7,10,76863
864,4.4,0.1,11.1,2.5,6.1,70.7,0.1,0.9,2.2,6.1,64.2,24.7,7,4.9,486,466,11511,59,14,8,1,0,0,7,10,76863
2376,4.8,0.5,9.9,3.6,5.1,74,0.4,0.1,0.6,5.7,65.9,24.2,13,3.7,490,456,11511,59,14,8,1,0,0,7,10,76863
1273,2.4,0.4,3.1,1.4,0.5,16.7,0.2,3,0,74.6,16.2,21.2,15,4.1,563,553,12004,61,7,16,2,0,0,6,7,67774
585,3.4,1.4,1.4,1.2,0.5,24.4,0.2,1,0,69.9,32.3,19.2,14,4,537,508,12004,61,7,16,2,0,0,6,7,67774
1731,6.6,1.2,3.4,1.4,2.5,30.6,0.3,3,0.1,57.5,31,23.3,13,7.7,424,400,9363,63,11,6,2,0,0,6,10,75996
707,2.1,1.1,2.1,4.2,0.8,28.9,0.6,9.5,0.8,51.9,36.9,22.4,10,9.1,496,481,10542,53,12,11,2,0,0,8,11,65273
1446,13.4,0.2,0.4,0.8,0.5,94.2,0.1,0.1,1.2,2.6,85.3,24,11,8,466,423,11795,61,10,11,0,0,0,6,10,89478
2395,7.6,0.3,0.9,1.4,0.8,90.1,0.1,0.2,0.9,5.4,72.1,28.5,13,2.4,458,443,11795,61,10,11,0,0,0,6,10,89478
2838,5.7,0.2,2.4,1.1,1.4,77.2,0.1,0.2,0,17.3,44.6,27.2,12,2.6,499,475,11795,61,10,11,0,0,0,6,10,89478
2082,6.1,0.3,0.3,0.4,0.3,92.5,0,0.1,0.3,5.6,74.5,24.8,11,5.2,456,433,11795,61,10,11,0,0,0,6,10,89478
2819,11,0.1,0.6,0.4,1.6,89.1,0.3,0.4,0.1,7.3,72,23.9,11,3.5,596,559,11795,61,10,11,0,0,0,6,10,89478
2129,16.5,0.2,4.4,8.1,6.5,54.3,0.1,4.5,0,21.8,38.1,22.1,14,1.6,430,423,9650,57,11,12,1,0,0,8,11,78175
395,0.3,0,19.5,2,11.1,22.8,0,5.1,0,39.5,7.8,33.2,12,0.3,597,579,9650,57,11,12,1,0,0,8,11,78175
2330,4,0.1,3.1,2.5,4,30,0,5.2,0,54.9,11.4,24.9,13,1.6,528,509,9650,57,11,12,1,0,0,8,11,78175
2342,13.7,0.1,3.4,1.7,1.9,44.2,0.1,3.3,0,45.3,24.6,24.9,14,1,536,525,9650,57,11,12,1,0,0,8,11,78175
3103,4.2,0.1,9.2,4.4,6.9,26.7,0.1,5.8,0.1,46.7,6.8,25.2,14,2.4,541,532,9650,57,11,12,1,0,0,8,11,78175
2327,13.1,0.1,2.4,4.1,3.7,48.6,0.2,3.4,0,37.4,22,25.7,12,1.5,484,479,9650,57,11,12,1,0,0,8,11,78175
1545,7.5,0.9,0.7,13.3,0.8,50.2,0.5,8.4,0.1,25.1,74.1,19.3,4,0,469,473,9650,57,11,12,1,0,0,8,11,78175
2455,3.4,0.1,15.6,4.4,5.5,21.8,0.1,5.5,0,46.9,8.4,26.9,12,2.3,564,545,9650,57,11,12,1,0,0,8,11,78175
449,2,1.3,8.5,4.2,7.3,14.7,0,3.6,2,58.4,6.2,21.4,4,0.4,588,581,9650,57,11,12,1,0,0,8,11,78175
547,25.2,0.2,1.5,0.2,0,93.1,0.4,0,0,4.8,77.9,22.3,10,7.8,416,418,9540,60,11,3,1,0,0,8,11,67771
398,8.3,6.3,1.5,0.8,0,33.7,1,1.8,0.3,54.8,64.8,16.9,9,12.4,487,486,12257,57,10,10,1,0,0,8,14,54703
443,10.2,2.5,4.5,1.4,0,47.4,0.9,0.7,0.2,42.4,54.2,22.3,8,2.8,435,438,8523,54,12,6,0,0,0,6,14,78595
1712,8.7,1.3,2.1,1.3,0.6,41.8,0.8,1.1,0,51.1,29.3,22.6,11,3.7,502,503,9854,59,10,13,1,0,0,4,9,62410
435,18.4,0.7,0.7,1.6,0.7,65.7,0,0.9,0,29.7,55.6,19.2,14,9.3,471,451,10463,57,14,9,0,0,0,8,11,69371
663,19.9,0,0.6,0.3,0,86,0,0,0,13.1,83.3,20.8,7,4.3,431,416,10489,53,11,12,2,0,0,5,15,63717
1525,13.1,0.4,7,1.2,0.8,63.8,0.3,1.4,0.4,24.8,60.8,22.5,9,5,480,467,10283,61,11,9,1,0,0,7,10,65991
1318,12.2,0.3,3.2,1.1,0.5,67.8,0.2,0.6,0.5,25.9,63.4,22,12,9.8,449,450,10283,61,11,9,1,0,0,7,10,65991
648,1.4,2.8,0.8,0.3,0.6,15,0,7.6,0,73,45.4,20.3,14,8.1,520,496,10855,53,10,10,0,0,0,8,15,65650
615,3.3,5.7,1.5,0.3,0.2,15.9,0,8,0.3,68.1,46.7,18.5,13,4.6,507,467,14176,51,7,10,8,0,0,9,13,75243
1757,8.2,0.6,30.6,2.6,0.5,34.7,0.3,6,0.6,24,59.1,20.3,10,6.8,507,483,9736,61,13,8,1,0,0,5,10,66431
1766,8.3,0.8,11.2,1.7,0.5,46.5,0.5,4.8,0.6,33.4,58.3,18.7,12,7.8,491,465,9736,61,13,8,1,0,0,5,10,66431
2775,5.8,0.6,1.4,1.5,0.9,38.1,0.3,0.8,0,56.5,44.9,24.4,10,4.1,480,469,9481,60,11,10,1,0,0,6,9,77421
