District Name,County Name (District),District Type (District),Current Exp of Educ per ADA (Ed Code 41372) (District),Gen Fund Exp by Activity - 1000-1999 Instruction Exp % (District),Gen Fund Exp by Activity - 2000-2999 Instruc-related Svcs Exp % (District),Gen Fund Exp by Activity - 3000-3999 Pupil Services Exp % (District),Gen Fund Exp by Activity - 4000-4999 Ancillary Services Exp % (District),Gen Fund Exp by Activity - 5000-5999 Community Services Exp % (District),Gen Fund Exp by Activity - 6000-6999 Enterprise Exp % (District),Gen Fund Exp by Activity - 7000-7999 General Administration Exp % (District),Gen Fund Exp by Activity - 8000-8999 Plant Services Exp % (District),Teacher Salary-Avg (District)
Mattole Unified (Humboldt),Humboldt,Unified School District,21846,50,5,15,0,0,0,11,18,41083
Maxwell Unified (Colusa),Colusa,Unified School District,12049,60,6,5,0,0,0,13,13,62108
McCabe Union Elementary (Imperial),Imperial,Elementary School District,8370,65,8,6,0,0,0,7,12,68603
McCloud Union Elementary (Siskiyou),Siskiyou,Elementary School District,13070,52,14,2,1,0,0,10,15,54430
McFarland Unified (Kern),Kern,Unified School District,9538,55,12,6,1,1,0,6,16,66950
McKinleyville Union Elementary (Humboldt),Humboldt,Elementary School District,9274,64,11,6,1,0,0,7,7,N/A
McKittrick Elementary (Kern),Kern,Elementary School District,25119,54,14,5,0,0,0,9,17,N/A
McSwain Union Elementary (Merced),Merced,Elementary School District,8625,64,10,6,0,0,0,10,9,67848
Meadows Union Elementary (Imperial),Imperial,Elementary School District,10359,66,6,9,0,0,0,11,8,77740
Mendocino County Office of Education (Mendocino),Mendocino,County Office of Education (COE),N/A,35,25,14,0,0,0,19,4,64002
Mendocino Unified (Mendocino),Mendocino,Unified School District,15590,57,13,9,2,0,0,9,11,58613
Mendota Unified (Fresno),Fresno,Unified School District,9977,59,12,5,0,0,0,9,15,62132
Menifee Union Elementary (Riverside),Riverside,Elementary School District,9234,63,11,6,0,0,0,6,11,77872
Menlo Park City Elementary (San Mateo),San Mateo,Elementary School District,14862,67,13,5,0,0,0,7,7,101064
Merced City Elementary (Merced),Merced,Elementary School District,9142,64,14,6,0,0,1,4,8,85232
Merced County Office of Education (Merced),Merced,County Office of Education (COE),N/A,41,19,20,0,1,0,10,9,64706
Merced River Union Elementary (Merced),Merced,Elementary School District,12232,54,14,13,0,0,0,9,10,57506
Merced Union High (Merced),Merced,High School District,11488,56,13,12,2,0,0,5,11,74987
Meridian Elementary (Sutter),Sutter,Elementary School District,12078,23,14,6,0,0,0,4,24,N/A
Mesa Union Elementary (Ventura),Ventura,Elementary School District,8813,58,8,5,0,0,0,8,9,71616
Middletown Unified (Lake),Lake,Unified School District,11801,52,8,7,1,0,0,7,24,59242
Midway Elementary (Kern),Kern,Elementary School District,21133,65,7,7,0,1,0,7,13,69124
Mill Valley Elementary (Marin),Marin,Elementary School District,12638,66,13,4,0,0,0,8,8,83538
Millbrae Elementary (San Mateo),San Mateo,Elementary School District,8812,66,9,8,0,0,0,7,9,72639
Millville Elementary (Shasta),Shasta,Elementary School District,9727,66,9,4,0,1,0,10,9,56495
Milpitas Unified (Santa Clara),Santa Clara,Unified School District,9422,64,10,5,0,0,0,4,9,83389
Mission Union Elementary (Monterey),Monterey,Elementary School District,10256,68,14,0,0,0,0,8,7,56175
Modesto City Elementary (Stanislaus),Stanislaus,Elementary School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Modesto City High (Stanislaus),Stanislaus,High School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Modesto City Schools (Stanislaus),Stanislaus,Common Administration District,10539,56,12,9,1,1,0,5,13,87050
Modoc County Office of Education (Modoc),Modoc,County Office of Education (COE),N/A,31,26,20,0,0,0,16,6,53926
Modoc Joint Unified (Modoc),Modoc,Unified School District,10200,54,11,5,2,0,0,10,18,55183
Mojave Unified (Kern),Kern,Unified School District,12153,55,11,12,1,0,0,6,12,66580
Mono County Office of Education (Mono),Mono,County Office of Education (COE),N/A,18,17,8,1,5,0,47,4,71015
Monroe Elementary (Fresno),Fresno,Elementary School District,12624,56,14,10,0,0,0,7,9,N/A
Monrovia Unified (Los Angeles),Los Angeles,Unified School District,11516,56,10,8,1,0,0,7,17,77349
Monson-Sultana Joint Union Elementary (Tulare),Tulare,Elementary School District,9696,60,11,6,0,0,0,11,10,70449
Montague Elementary (Siskiyou),Siskiyou,Elementary School District,10482,50,11,3,2,0,0,9,21,N/A
Monte Rio Union Elementary (Sonoma),Sonoma,Elementary School District,16529,51,21,8,0,0,0,13,7,55960
Montebello Unified (Los Angeles),Los Angeles,Unified School District,11432,58,14,10,0,0,0,6,10,83736
Montecito Union Elementary (Santa Barbara),Santa Barbara,Elementary School District,27644,57,13,2,0,0,0,11,10,106071
Monterey County Office of Education (Monterey),Monterey,County Office of Education (COE),N/A,40,24,13,0,0,0,13,2,72970
Monterey Peninsula Unified (Monterey),Monterey,Unified School District,11541,56,13,9,1,0,0,6,13,65212
Montgomery Elementary (Sonoma),Sonoma,Elementary School District,20319,64,10,6,0,0,0,14,6,N/A
Moorpark Unified (Ventura),Ventura,Unified School District,9954,63,11,7,0,0,0,6,10,71784
Moraga Elementary (Contra Costa),Contra Costa,Elementary School District,11096,65,12,4,0,0,0,7,10,71816
Moreland (Santa Clara),Santa Clara,Elementary School District,9847,64,15,6,0,0,0,6,8,76270
Moreno Valley Unified (Riverside),Riverside,Unified School District,10443,58,9,7,0,0,2,4,19,80917
Morgan Hill Unified (Santa Clara),Santa Clara,Unified School District,9350,58,11,8,1,0,0,7,11,72134
Morongo Unified (San Bernardino),San Bernardino,Unified School District,11171,61,10,10,1,0,0,6,12,73585
Mother Lode Union Elementary (El Dorado),El Dorado,Elementary School District,9293,63,10,7,0,0,0,8,9,64125
Mount Pleasant Elementary (Santa Clara),Santa Clara,Elementary School District,11465,64,15,6,0,0,0,7,7,70961
Mountain Elementary (Santa Cruz),Santa Cruz,Elementary School District,12593,62,22,2,0,0,0,8,6,N/A
Mountain Empire Unified (San Diego),San Diego,Unified School District,14246,55,12,12,2,0,0,10,9,57345
Mountain House Elementary (Alameda),Alameda,Elementary School District,24846,44,11,19,0,0,0,10,16,N/A
Mountain Union Elementary (Shasta),Shasta,Elementary School District,15682,42,12,16,0,0,0,12,17,44826
Mountain Valley Unified (Trinity),Trinity,Unified School District,17764,55,12,9,3,0,0,7,11,58112
Mountain View Elementary (Los Angeles),Los Angeles,Elementary School District,8939,67,10,6,0,0,0,7,9,94802
Mountain View Elementary (San Bernardino),San Bernardino,Elementary School District,11798,62,15,5,0,0,0,4,9,86257
Mountain View Whisman (Santa Clara),Santa Clara,Elementary School District,11430,61,11,4,0,0,0,6,19,73652
Mountain View-Los Altos Union High (Santa Clara),Santa Clara,High School District,17839,61,12,8,2,0,0,8,8,120814
Mt. Baldy Joint Elementary (San Bernardino),San Bernardino,Elementary School District,11388,54,14,12,0,0,0,14,6,N/A
Mt. Diablo Unified (Contra Costa),Contra Costa,Unified School District,10095,64,13,9,1,0,0,4,9,70932
Mt. Shasta Union Elementary (Siskiyou),Siskiyou,Elementary School District,9619,62,9,3,1,0,1,10,12,62646
Mulberry Elementary (Imperial),Imperial,Elementary School District,10014,49,16,6,0,0,0,13,16,N/A
Mupu Elementary (Ventura),Ventura,Elementary School District,9562,61,14,5,0,0,0,7,8,67811
Muroc Joint Unified (Kern),Kern,Unified School District,10089,61,9,7,1,0,0,8,14,64747
Murrieta Valley Unified (Riverside),Riverside,Unified School District,9056,66,9,8,1,0,0,6,10,85412
Napa County Office of Education (Napa),Napa,County Office of Education (COE),N/A,26,33,7,0,0,13,16,4,N/A
Napa Valley Unified (Napa),Napa,Unified School District,10511,62,13,7,1,0,0,6,11,76767
National Elementary (San Diego),San Diego,Elementary School District,10963,66,9,6,0,1,0,8,10,68228
Natomas Unified (Sacramento),Sacramento,Unified School District,9913,63,11,7,1,0,0,8,10,68710
Needles Unified (San Bernardino),San Bernardino,Unified School District,12810,58,7,7,0,0,0,8,12,72884
Nevada City Elementary (Nevada),Nevada,Elementary School District,9531,58,11,8,1,2,0,10,8,65202
Nevada County Office of Education (Nevada),Nevada,County Office of Education (COE),N/A,40,9,11,3,6,0,17,13,61493
Nevada Joint Union High (Nevada),Nevada,High School District,12033,52,11,12,4,0,0,8,12,72156
New Haven Unified (Alameda),Alameda,Unified School District,10154,63,15,7,1,0,0,4,8,89873
New Hope Elementary (San Joaquin),San Joaquin,Elementary School District,10876,69,9,7,0,0,0,7,8,53389
New Jerusalem Elementary (San Joaquin),San Joaquin,Elementary School District,94618,6,5,11,0,0,0,26,8,59326
Newark Unified (Alameda),Alameda,Unified School District,10944,60,13,7,1,0,0,6,12,85447
Newcastle Elementary (Placer),Placer,Elementary School District,12717,66,5,6,0,0,0,8,5,65127
Newhall (Los Angeles),Los Angeles,Elementary School District,9055,64,12,6,0,0,0,7,10,72753
Newman-Crows Landing Unified (Stanislaus),Stanislaus,Unified School District,10285,57,12,6,1,0,0,8,13,72245
Newport-Mesa Unified (Orange),Orange,Unified School District,12132,59,13,7,1,0,0,6,12,91823
Nicasio (Marin),Marin,Elementary School District,19097,48,21,5,0,0,0,9,8,73764
Norris Elementary (Kern),Kern,Elementary School District,7042,62,7,6,0,0,0,7,11,N/A
North County Joint Union Elementary (San Benito),San Benito,Elementary School District,7558,65,8,7,1,0,0,8,8,69370
North Cow Creek Elementary (Shasta),Shasta,Elementary School District,9306,64,13,1,1,1,0,10,8,64555
North Monterey County Unified (Monterey),Monterey,Unified School District,10907,58,12,11,1,0,0,7,9,68271
Northern Humboldt Union High (Humboldt),Humboldt,High School District,12788,59,10,11,2,0,0,8,10,N/A
Norwalk-La Mirada Unified (Los Angeles),Los Angeles,Unified School District,10562,60,13,8,1,0,0,6,11,84604
Novato Unified (Marin),Marin,Unified School District,10437,62,12,7,1,0,0,7,9,70284
Nuestro Elementary (Sutter),Sutter,Elementary School District,8658,54,11,4,0,2,0,13,11,49488
Nuview Union (Riverside),Riverside,Elementary School District,10707,59,8,10,0,0,0,7,13,76934
Oak Grove Elementary (Santa Clara),Santa Clara,Elementary School District,10171,61,11,8,0,0,0,6,8,77001
Oak Grove Union Elementary (Sonoma),Sonoma,Elementary School District,10626,64,9,5,0,0,0,8,7,N/A
Oak Park Unified (Ventura),Ventura,Unified School District,9280,65,7,8,1,0,0,7,11,81480
Oak Run Elementary (Shasta),Shasta,Elementary School District,12736,48,16,10,0,0,0,10,15,40870
Oak Valley Union Elementary (Tulare),Tulare,Elementary School District,8869,65,6,6,0,0,0,9,13,63191
Oak View Union Elementary (San Joaquin),San Joaquin,Elementary School District,7985,64,11,3,0,0,0,7,14,70381
Oakdale Joint Unified (Stanislaus),Stanislaus,Unified School District,9494,64,11,9,0,0,0,4,9,74303
Oakland Unified (Alameda),Alameda,Unified School District,13813,57,17,5,2,0,0,6,11,62935
Oakley Union Elementary (Contra Costa),Contra Costa,Elementary School District,9248,63,12,7,0,0,0,5,12,72636
Ocean View (Orange),Orange,Elementary School District,9850,68,11,6,0,0,0,6,8,83021
Ocean View (Ventura),Ventura,Elementary School District,9558,60,8,6,0,0,0,9,11,75615
Oceanside Unified (San Diego),San Diego,Unified School District,11145,64,11,9,0,0,0,5,10,79639
Ojai Unified (Ventura),Ventura,Unified School District,9574,57,12,8,0,1,0,9,10,63076
Old Adobe Union (Sonoma),Sonoma,Elementary School District,11192,70,10,3,0,0,0,6,8,72847
Ontario-Montclair (San Bernardino),San Bernardino,Elementary School District,11216,69,10,7,0,0,0,4,9,84580
Orange Center (Fresno),Fresno,Elementary School District,11734,54,13,11,0,0,0,11,10,N/A
Orange County Department of Education (Orange),Orange,County Office of Education (COE),N/A,37,30,9,0,0,0,11,6,94453
Orange Unified (Orange),Orange,Unified School District,9907,61,15,9,1,0,0,4,8,81070
Orchard Elementary (Santa Clara),Santa Clara,Elementary School District,9035,69,9,4,0,0,0,9,7,73335
Orcutt Union Elementary (Santa Barbara),Santa Barbara,Elementary School District,9558,69,12,6,0,2,0,2,9,79073
Orick Elementary (Humboldt),Humboldt,Elementary School District,27274,46,11,5,0,0,0,20,18,N/A
Orinda Union Elementary (Contra Costa),Contra Costa,Elementary School District,11809,65,9,3,0,3,0,9,10,72642
Orland Joint Unified (Glenn),Glenn,Unified School District,9865,58,11,5,1,0,0,7,12,62499
Oro Grande Elementary (San Bernardino),San Bernardino,Elementary School District,51069,38,36,7,0,0,0,10,6,N/A
Oroville City Elementary (Butte),Butte,Elementary School District,10862,61,10,8,0,0,0,5,14,77142
Oroville Union High (Butte),Butte,High School District,11588,55,8,13,2,0,0,4,13,69654
Outside Creek Elementary (Tulare),Tulare,Elementary School District,8667,58,10,6,0,0,0,10,13,49491
Owens Valley Unified (Inyo),Inyo,Unified School District,25719,51,7,6,0,0,0,19,16,65602
Oxnard (Ventura),Ventura,Elementary School District,10473,65,11,8,0,1,0,5,8,77162
Oxnard Union High (Ventura),Ventura,High School District,10510,62,11,9,2,0,0,6,9,84220
Pacheco Union Elementary (Shasta),Shasta,Elementary School District,11812,56,19,6,0,1,0,7,9,57229
Pacific Elementary (Santa Cruz),Santa Cruz,Elementary School District,10594,59,16,4,0,3,0,11,9,N/A
Pacific Grove Unified (Monterey),Monterey,Unified School District,13745,59,11,9,1,0,1,8,9,90144
Pacific Union Elementary (Humboldt),Humboldt,Elementary School District,8745,68,11,6,0,3,0,4,7,63616
Pacific Union Elementary (Fresno),Fresno,Elementary School District,10177,55,9,12,2,0,0,7,15,N/A
Pacifica (San Mateo),San Mateo,Elementary School District,9486,65,13,5,0,0,0,6,10,64605
Pajaro Valley Unified (Santa Cruz),Santa Cruz,Unified School District,11584,60,16,10,1,0,0,4,9,63577
Palermo Union Elementary (Butte),Butte,Elementary School District,10476,62,11,6,0,0,0,7,10,68349
Palm Springs Unified (Riverside),Riverside,Unified School District,11840,62,12,8,1,0,0,5,12,80689
Palmdale Elementary (Los Angeles),Los Angeles,Elementary School District,10004,58,13,11,0,1,0,7,9,81688
Palo Alto Unified (Santa Clara),Santa Clara,Unified School District,17941,66,12,7,1,0,0,5,9,101408
Palo Verde Unified (Riverside),Riverside,Unified School District,10574,58,8,13,1,0,0,7,13,70163
Palo Verde Union Elementary (Tulare),Tulare,Elementary School District,10272,63,7,5,0,0,0,8,16,72908
Palos Verdes Peninsula Unified (Los Angeles),Los Angeles,Unified School District,10142,68,7,7,1,0,0,5,10,80086
Panama-Buena Vista Union (Kern),Kern,Elementary School District,9003,60,9,8,0,0,0,4,12,69865
Panoche Elementary (San Benito),San Benito,Elementary School District,18054,38,4,0,0,0,0,8,51,N/A
Paradise Elementary (Stanislaus),Stanislaus,Elementary School District,8787,59,17,4,0,0,0,6,12,N/A
Paradise Unified (Butte),Butte,Unified School District,11273,65,9,9,1,0,0,6,9,66368
Paramount Unified (Los Angeles),Los Angeles,Unified School District,10425,61,15,6,0,0,0,4,13,80923
Parlier Unified (Fresno),Fresno,Unified School District,12417,54,13,8,1,0,0,9,14,61437
Pasadena Unified (Los Angeles),Los Angeles,Unified School District,12699,58,14,10,0,0,0,7,10,71988
Paso Robles Joint Unified (San Luis Obispo),San Luis Obispo,Unified School District,10541,61,12,8,2,0,0,6,9,69275
Patterson Joint Unified (Stanislaus),Stanislaus,Unified School District,9494,62,12,9,0,0,0,6,9,67039
Peninsula Union (Humboldt),Humboldt,Elementary School District,20173,43,12,8,0,0,0,10,26,N/A
Penn Valley Union Elementary (Nevada),Nevada,Elementary School District,10231,54,11,6,1,2,0,12,12,62978
Perris Elementary (Riverside),Riverside,Elementary School District,10353,65,11,8,0,0,0,6,9,78649
Perris Union High (Riverside),Riverside,High School District,11294,56,10,10,2,0,0,7,14,87873
Petaluma City Elementary (Sonoma),Sonoma,Elementary School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Petaluma City Elementary/Joint Union High (Sonoma),Sonoma,Common Administration District,10818,65,11,10,0,1,0,4,7,67736
Petaluma Joint Union High (Sonoma),Sonoma,High School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Piedmont City Unified (Alameda),Alameda,Unified School District,14561,67,12,5,1,0,0,7,8,N/A
Pierce Joint Unified (Colusa),Colusa,Unified School District,8976,60,8,5,2,0,0,8,12,67814
Pine Ridge Elementary (Fresno),Fresno,Elementary School District,24573,54,10,7,1,0,0,10,18,67285
Piner-Olivet Union Elementary (Sonoma),Sonoma,Elementary School District,11201,64,6,6,0,0,0,7,16,75823
Pioneer Union Elementary (Kings),Kings,Elementary School District,18773,49,11,8,0,0,0,15,15,62514
Pioneer Union Elementary (El Dorado),El Dorado,Elementary School District,8601,60,11,5,0,0,0,8,15,N/A
Pioneer Union Elementary (Butte),Butte,Elementary School District,10645,50,13,9,1,0,0,13,12,71457
Pittsburg Unified (Contra Costa),Contra Costa,Unified School District,10076,62,12,8,1,0,0,6,9,69971
Pixley Union Elementary (Tulare),Tulare,Elementary School District,11639,63,11,9,1,0,0,5,10,66245
Placentia-Yorba Linda Unified (Orange),Orange,Unified School District,9590,66,11,6,0,0,0,3,11,85019
Placer County Office of Education (Placer),Placer,County Office of Education (COE),N/A,27,21,13,0,0,0,14,12,74656
Placer Hills Union Elementary (Placer),Placer,Elementary School District,10412,51,6,19,0,0,0,7,11,65972
Placer Union High (Placer),Placer,High School District,10452,54,14,9,3,0,0,6,12,73111
Placerville Union Elementary (El Dorado),El Dorado,Elementary School District,9043,58,10,7,1,0,0,10,11,65145
Plainsburg Union Elementary (Merced),Merced,Elementary School District,8372,56,9,8,0,0,0,8,16,43292
Planada Elementary (Merced),Merced,Elementary School District,10156,57,11,6,1,0,0,11,12,67211
Plaza Elementary (Glenn),Glenn,Elementary School District,7354,65,11,2,0,0,0,9,7,N/A
Pleasant Grove Joint Union (Sutter),Sutter,Elementary School District,8257,50,16,9,0,2,0,10,10,56460
Pleasant Ridge Union Elementary (Nevada),Nevada,Elementary School District,9791,65,9,7,0,0,0,7,8,74799
Pleasant Valley (Ventura),Ventura,Elementary School District,8819,66,11,5,0,0,0,7,8,73498
Pleasant Valley Joint Union Elementary (San Luis Obispo),San Luis Obispo,Elementary School District,11331,52,12,2,0,1,0,10,21,59606
Pleasant View Elementary (Tulare),Tulare,Elementary School District,10825,63,11,5,0,1,0,5,9,66411
Pleasanton Unified (Alameda),Alameda,Unified School District,9879,69,12,5,0,0,0,6,7,90207
Plumas County Office of Education (Plumas),Plumas,County Office of Education (COE),N/A,42,24,4,0,0,0,29,1,N/A
Plumas Lake Elementary (Yuba),Yuba,Elementary School District,8687,57,12,5,0,0,0,9,14,55877
Plumas Unified (Plumas),Plumas,Unified School District,12711,50,11,15,1,0,0,6,16,58278
Point Arena Joint Union High (Mendocino),Mendocino,High School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Pollock Pines Elementary (El Dorado),El Dorado,Elementary School District,10217,55,9,11,0,0,0,10,14,N/A
Pomona Unified (Los Angeles),Los Angeles,Unified School District,11029,62,12,8,0,0,0,6,11,79778
Pond Union Elementary (Kern),Kern,Elementary School District,10725,58,9,5,0,0,0,11,14,N/A
Pope Valley Union Elementary (Napa),Napa,Elementary School District,24530,50,16,12,0,0,0,11,12,N/A
Porterville Unified (Tulare),Tulare,Unified School District,10655,59,13,8,2,2,0,3,11,76860
Portola Valley Elementary (San Mateo),San Mateo,Elementary School District,22318,59,16,4,0,0,0,10,7,N/A
Potter Valley Community Unified (Mendocino),Mendocino,Unified School District,13811,59,11,7,1,0,0,9,13,52371
Poway Unified (San Diego),San Diego,Unified School District,9388,65,10,7,1,0,0,5,10,80316
Princeton Joint Unified (Glenn),Glenn,Unified School District,14159,41,20,8,1,0,0,9,15,N/A
Raisin City Elementary (Fresno),Fresno,Elementary School District,11386,59,6,9,0,0,0,13,12,N/A
Ramona City Unified (San Diego),San Diego,Unified School District,9875,59,9,9,0,1,0,8,10,72283
Rancho Santa Fe Elementary (San Diego),San Diego,Elementary School District,17182,65,8,2,1,0,0,13,11,73794
Ravendale-Termo Elementary (Lassen),Lassen,Elementary School District,30574,38,14,10,0,0,0,19,18,N/A
Ravenswood City Elementary (San Mateo),San Mateo,Elementary School District,15578,60,14,5,0,0,0,9,9,68730
Raymond-Knowles Union Elementary (Madera),Madera,Elementary School District,12177,34,25,10,0,0,0,10,20,39855
Red Bluff Joint Union High (Tehama),Tehama,High School District,12875,58,10,11,2,0,0,7,11,75130
Red Bluff Union Elementary (Tehama),Tehama,Elementary School District,9598,65,11,6,0,0,0,8,9,63095
Redding Elementary (Shasta),Shasta,Elementary School District,10530,65,11,5,0,0,0,7,11,63524
Redlands Unified (San Bernardino),San Bernardino,Unified School District,9388,61,12,8,1,0,0,5,9,80376
Redondo Beach Unified (Los Angeles),Los Angeles,Unified School District,9053,68,9,7,0,0,0,6,9,80788
Redwood City Elementary (San Mateo),San Mateo,Elementary School District,11543,65,13,5,0,1,0,5,9,75351
Reed Union Elementary (Marin),Marin,Elementary School District,13659,63,11,5,0,0,0,8,10,85075
Reeds Creek Elementary (Tehama),Tehama,Elementary School District,8517,48,19,7,1,0,0,13,10,N/A
Reef-Sunset Unified (Kings),Kings,Unified School District,10698,57,17,6,0,0,0,6,11,68023
Rescue Union Elementary (El Dorado),El Dorado,Elementary School District,8781,66,11,7,0,0,0,5,9,N/A
Rialto Unified (San Bernardino),San Bernardino,Unified School District,10269,58,12,9,0,0,0,5,15,82600
Richfield Elementary (Tehama),Tehama,Elementary School District,8497,68,13,3,0,0,0,6,9,62922
Richgrove Elementary (Tulare),Tulare,Elementary School District,13541,57,16,6,2,0,0,8,11,73276
Richland Union Elementary (Kern),Kern,Elementary School District,9312,63,11,8,0,2,0,5,7,68217
Richmond Elementary (Lassen),Lassen,Elementary School District,7885,53,20,0,1,0,0,11,15,51021
Rim of the World Unified (San Bernardino),San Bernardino,Unified School District,10808,60,10,11,1,0,0,8,11,71838
Rincon Valley Union Elementary (Sonoma),Sonoma,Elementary School District,9651,63,12,12,0,0,0,5,9,66057
Rio Bravo-Greeley Union Elementary (Kern),Kern,Elementary School District,8765,65,9,6,0,0,0,9,9,N/A
Rio Dell Elementary (Humboldt),Humboldt,Elementary School District,10122,70,7,4,0,0,0,8,8,58868
Rio Elementary (Ventura),Ventura,Elementary School District,9723,62,10,6,0,0,0,7,9,75494
Ripon Unified (San Joaquin),San Joaquin,Unified School District,9118,59,9,6,0,2,0,7,11,N/A
River Delta Joint Unified (Sacramento),Sacramento,Unified School District,10826,59,9,13,1,0,0,6,12,55416
Riverbank Unified (Stanislaus),Stanislaus,Unified School District,11720,59,11,6,1,0,0,7,12,66398
Riverdale Joint Unified (Fresno),Fresno,Unified School District,10421,59,11,10,2,0,0,7,12,66403
Riverside County Office of Education (Riverside),Riverside,County Office of Education (COE),N/A,40,23,8,1,0,0,18,4,N/A
Riverside Unified (Riverside),Riverside,Unified School District,10485,65,12,7,1,0,0,4,10,87199
Roberts Ferry Union Elementary (Stanislaus),Stanislaus,Elementary School District,10834,67,13,5,0,0,0,6,8,72544
Robla Elementary (Sacramento),Sacramento,Elementary School District,11226,65,11,7,0,0,0,8,9,71693
Rockford Elementary (Tulare),Tulare,Elementary School District,8468,67,6,7,0,0,0,6,13,57368
Rocklin Unified (Placer),Placer,Unified School District,8860,64,11,6,1,0,0,5,11,74097
Romoland Elementary (Riverside),Riverside,Elementary School District,9036,64,11,7,1,0,0,7,8,81127
Rosedale Union Elementary (Kern),Kern,Elementary School District,8751,61,10,9,0,0,0,6,10,68632
Roseland (Sonoma),Sonoma,Elementary School District,16930,68,12,7,0,0,0,6,6,61888
Rosemead Elementary (Los Angeles),Los Angeles,Elementary School District,10556,67,10,5,0,0,0,7,8,84919
Roseville City Elementary (Placer),Placer,Elementary School District,8663,68,8,7,0,0,0,4,10,80553
Roseville Joint Union High (Placer),Placer,High School District,9884,59,12,12,2,0,0,6,9,82010
Ross Elementary (Marin),Marin,Elementary School District,18383,59,14,5,0,0,0,14,7,81073
Ross Valley Elementary (Marin),Marin,Elementary School District,10612,65,10,8,0,0,0,7,8,69927
Round Valley Joint Elementary (Inyo),Inyo,Elementary School District,11257,61,8,10,0,0,0,11,10,57696
Round Valley Unified (Mendocino),Mendocino,Unified School District,18354,52,8,9,1,0,0,12,16,56220
Rowland Unified (Los Angeles),Los Angeles,Unified School District,11517,60,15,7,0,0,0,7,9,82902
Sacramento City Unified (Sacramento),Sacramento,Unified School District,10974,61,13,9,0,0,0,4,13,70343
Sacramento County Office of Education (Sacramento),Sacramento,County Office of Education (COE),N/A,30,29,13,0,0,2,13,5,77178
Saddleback Valley Unified (Orange),Orange,Unified School District,9371,66,9,7,1,0,0,5,10,82270
Saint Helena Unified (Napa),Napa,Unified School District,22470,63,10,6,1,1,0,8,10,111344
Salida Union Elementary (Stanislaus),Stanislaus,Elementary School District,9651,64,8,5,0,3,0,7,12,80300
Salinas City Elementary (Monterey),Monterey,Elementary School District,10426,57,14,5,0,0,0,4,12,67874
Salinas Union High (Monterey),Monterey,High School District,11294,57,14,11,0,0,0,6,10,72027
San Antonio Union Elementary (Monterey),Monterey,Elementary School District,12612,52,15,11,0,0,0,12,9,53167
San Ardo Union Elementary (Monterey),Monterey,Elementary School District,12002,54,11,2,0,0,0,11,15,N/A
San Benito County Office of Education (San Benito),San Benito,County Office of Education (COE),N/A,38,16,10,0,0,2,20,2,N/A
San Benito High (San Benito),San Benito,High School District,9950,52,8,11,2,0,0,10,11,75441
San Bernardino City Unified (San Bernardino),San Bernardino,Unified School District,12127,62,12,10,0,0,0,5,10,78962
San Bernardino County Office of Education (San Bernardino),San Bernardino,County Office of Education (COE),N/A,37,17,22,0,0,0,15,3,87494
San Bruno Park Elementary (San Mateo),San Mateo,Elementary School District,9444,57,12,5,1,0,0,6,9,67546
San Carlos Elementary (San Mateo),San Mateo,Elementary School District,10732,62,11,7,0,0,0,8,9,78867
San Diego County Office of Education (San Diego),San Diego,County Office of Education (COE),N/A,22,47,3,0,0,0,18,5,85827
San Diego Unified (San Diego),San Diego,Unified School District,12265,63,12,12,0,0,0,4,9,76603
San Dieguito Union High (San Diego),San Diego,High School District,9952,60,11,11,2,0,0,5,9,97644
San Francisco County Office of Education (San Francisco),San Francisco,County Office of Education (COE),N/A,61,10,28,0,0,0,1,0,N/A
San Francisco Unified (San Francisco),San Francisco,Unified School District,11319,41,23,7,1,0,0,5,9,67537
San Gabriel Unified (Los Angeles),Los Angeles,Unified School District,11073,63,10,9,1,0,0,6,8,72705
San Jacinto Unified (Riverside),Riverside,Unified School District,10917,64,12,7,0,0,0,7,10,78284
San Joaquin County Office of Education (San Joaquin),San Joaquin,County Office of Education (COE),N/A,34,25,13,0,0,6,10,10,63439
San Jose Unified (Santa Clara),Santa Clara,Unified School District,11075,57,16,11,1,0,0,5,10,72731
San Juan Unified (Sacramento),Sacramento,Unified School District,10052,63,16,7,1,0,0,5,9,75808
San Leandro Unified (Alameda),Alameda,Unified School District,10851,63,13,6,1,0,1,6,9,86964
San Lorenzo Unified (Alameda),Alameda,Unified School District,10578,61,14,7,1,0,0,6,10,79561
San Lorenzo Valley Unified (Santa Cruz),Santa Cruz,Unified School District,10493,59,11,10,1,0,0,8,11,67501
San Lucas Union Elementary (Monterey),Monterey,Elementary School District,17874,52,17,4,0,0,0,8,17,49802
San Luis Coastal Unified (San Luis Obispo),San Luis Obispo,Unified School District,11899,57,13,10,2,0,0,6,11,74065
San Luis Obispo County Office of Education (San Luis Obispo),San Luis Obispo,County Office of Education (COE),N/A,27,25,10,3,0,1,17,9,71503
San Marcos Unified (San Diego),San Diego,Unified School District,9108,66,10,7,1,2,0,4,9,71202
