"","District Name","School Name","County Name","School Type (School)","Census Day Enrollment (School)","English Learners % (School)","American Indian or Alaska Native % (School)","Asian % (School)","Black or African American % (School)","Filipino % (School)","Hispanic or Latino % (School)","Native Hawaiian or Pac Islander % (School)","Two or More Races % (School)","None Reported % (School)","White % (School)","Free/Reduced Meals % (School)","Per Pupil Ratio: Teacher (School)","Avg Years Teaching (School)","Suspension Rate (School)","SAT Avg Results-Mathematics # (School)","SAT Avg Results-Writing # (School)","Current Exp of Educ per ADA (Ed Code 41372) (District)","Gen Fund Exp by Activity - 1000-1999 Instruction Exp % (District)","Gen Fund Exp by Activity - 2000-2999 Instruc-related Svcs Exp % (District)","Gen Fund Exp by Activity - 3000-3999 Pupil Services Exp % (District)","Gen Fund Exp by Activity - 4000-4999 Ancillary Services Exp % (District)","Gen Fund Exp by Activity - 5000-5999 Community Services Exp % (District)","Gen Fund Exp by Activity - 6000-6999 Enterprise Exp % (District)","Gen Fund Exp by Activity - 7000-7999 General Administration Exp % (District)","Gen Fund Exp by Activity - 8000-8999 Plant Services Exp % (District)","Teacher Salary-Avg (District)"
"1028","San Diego Unified","Mira Mesa High","San Diego","High School","2426","7.8","0.2","20.3","4.7","28.9","22.4","0.7","8.5","0.5","13.8","45.1","23.4","16","4.3","520","480","12265","63","12","12","0","0","0","4","9","76603"
"1029","San Diego Unified","Point Loma High","San Diego","High School","1915","5.4","0.5","1.3","3.9","1.5","39.2","0.5","5.3","0.2","47.7","40.7","23.5","15","1.8","516","502","12265","63","12","12","0","0","0","4","9","76603"
"1030","San Diego Unified","School for Entrepreneurship and Technology","San Diego","High School","269","5.6","0","2.6","6.7","2.2","28.6","0.4","8.2","0.4","50.9","40.5","26.2","3","9.9","503","489","12265","63","12","12","0","0","0","4","9","76603"
"1031","San Diego Unified","Morse High","San Diego","High School","1773","11.7","0.3","2.6","17.6","36.4","32.8","1.9","5.6","0.6","2.2","81.2","21.7","15","4.6","476","448","12265","63","12","12","0","0","0","4","9","76603"
"1032","San Diego Unified","Serra High","San Diego","High School","1762","5.8","0.5","8.7","7.7","3.6","44.3","0.5","7.7","0.1","26.9","58.3","22.2","13","2.9","525","486","12265","63","12","12","0","0","0","4","9","76603"
"1033","San Diego Unified","San Diego International Studies","San Diego","High School","995","6.8","0","2.3","8","1.6","52.2","0.3","5.3","0.2","30.1","55.9","23.9","14","1.1","512","511","12265","63","12","12","0","0","0","4","9","76603"
"1034","San Diego Unified","Mission Bay High","San Diego","High School","1054","10.6","0.5","2.4","7.6","0.6","59","0.4","4","0.4","25.2","66.9","18.7","14","5.7","448","422","12265","63","12","12","0","0","0","4","9","76603"
"1035","San Diego Unified","High Tech High International","San Diego","High School","399","4.8","0.8","4.3","8.8","4","51.9","0.8","0.8","0","28.8","41.4","20.8","5","4.7","494","481","12265","63","12","12","0","0","0","4","9","76603"
"1036","San Diego Unified","e3 Civic High","San Diego","High School","405","14.6","0","1","16.3","2","66.2","0.5","1.5","0.7","11.9","69.1","13.5","2","1.2","453","421","12265","63","12","12","0","0","0","4","9","76603"
"1037","San Diego Unified","Audeo Charter","San Diego","High School","761","10.8","0.3","2.1","9.6","0.8","52.7","0.7","1.2","0.1","32.6","65.8","28.2","5","0.1","0","0","12265","63","12","12","0","0","0","4","9","76603"
"1038","San Diego Unified","High Tech High","San Diego","High School","583","3.6","1.4","6.5","8.6","4.3","43.2","0.7","1","0","34.3","40.8","19.8","6","2.4","527","513","12265","63","12","12","0","0","0","4","9","76603"
"1039","San Dieguito Union High","San Dieguito High Academy","San Diego","High School","1828","3","0.7","5","0.2","0.8","19.9","0.1","1.6","0","71.7","10.7","24","12","1.7","561","549","9952","60","11","11","2","0","0","5","9","97644"
"1040","San Dieguito Union High","La Costa Canyon High","San Diego","High School","1894","5.2","0.3","4.4","1.1","1.3","15","0.3","2","0","75.6","7.9","24.8","14","1.6","570","548","9952","60","11","11","2","0","0","5","9","97644"
"1041","San Dieguito Union High","Torrey Pines High","San Diego","High School","2602","5","0.2","22.8","1.4","1","11.8","0.2","1.4","0","61.2","5.6","26.9","13","1.1","635","612","9952","60","11","11","2","0","0","5","9","97644"
