"","District Name","School Name","County Name","School Type (School)","Census Day Enrollment (School)","English Learners % (School)","American Indian or Alaska Native % (School)","Asian % (School)","Black or African American % (School)","Filipino % (School)","Hispanic or Latino % (School)","Native Hawaiian or Pac Islander % (School)","Two or More Races % (School)","None Reported % (School)","White % (School)","Free/Reduced Meals % (School)","Per Pupil Ratio: Teacher (School)","Avg Years Teaching (School)","Suspension Rate (School)","SAT Avg Results-Mathematics # (School)","SAT Avg Results-Writing # (School)","Current Exp of Educ per ADA (Ed Code 41372) (District)","Gen Fund Exp by Activity - 1000-1999 Instruction Exp % (District)","Gen Fund Exp by Activity - 2000-2999 Instruc-related Svcs Exp % (District)","Gen Fund Exp by Activity - 3000-3999 Pupil Services Exp % (District)","Gen Fund Exp by Activity - 4000-4999 Ancillary Services Exp % (District)","Gen Fund Exp by Activity - 5000-5999 Community Services Exp % (District)","Gen Fund Exp by Activity - 6000-6999 Enterprise Exp % (District)","Gen Fund Exp by Activity - 7000-7999 General Administration Exp % (District)","Gen Fund Exp by Activity - 8000-8999 Plant Services Exp % (District)","Teacher Salary-Avg (District)"
"372","Hawthorne","Hawthorne Math and Science Academy","Los Angeles","High School","567","3.4","0","5.3","9.3","5.5","72.8","0.7","1.1","0.5","4.8","78.8","24.3","12","1.2","512","494","10976","62","11","7","0","1","0","5","12","78760"
"373","Hayward Unified","Hayward High","Alameda","High School","1580","10.9","0.2","4.9","16.4","5","59.9","3.5","1.6","0.3","8.4","75.2","20.6","10","7.9","441","434","11834","61","15","8","0","0","0","5","9","84645"
"374","Hayward Unified","Impact Academy of Arts & Technology","Alameda","High School","462","6.1","0.2","3","13.2","5.6","66.5","2.8","2.8","1.1","4.8","59.7","24.3","3","10.4","437","430","11834","61","15","8","0","0","0","5","9","84645"
"375","Hayward Unified","Tennyson High","Alameda","High School","1294","28.6","0.2","7.2","7.5","7.7","69.3","4.4","0.4","0.2","3.1","82.9","18.9","10","7.5","432","430","11834","61","15","8","0","0","0","5","9","84645"
"376","Hayward Unified","Silver Oak High Public Montessori Charter","Alameda","High School","161","14.3","1.2","4.3","6.2","2.5","60.2","0.6","3.1","6.8","14.9","54","35.8","2","5.7","N/A","N/A","11834","61","15","8","0","0","0","5","9","84645"
"377","Hayward Unified","Leadership Public Schools - Hayward","Alameda","High School","533","10.5","0","10.9","4.5","7.3","67.9","2.8","1.7","2.8","2.1","60","22.3","4","4.5","467","446","11834","61","15","8","0","0","0","5","9","84645"
"378","Hayward Unified","Mt. Eden High","Alameda","High School","2009","11.1","0.3","12.1","9.6","15.2","51.8","3.5","1.4","0","6","69.2","23.5","12","4.5","454","441","11834","61","15","8","0","0","0","5","9","84645"
"379","Healdsburg Unified","Healdsburg High","Sonoma","High School","616","13.8","0.6","2.1","0.6","0.2","55","0","0.8","0","40.6","39","19","9","2.8","496","488","13396","61","13","6","0","0","0","8","10","66895"
"380","Hemet Unified","College Prep High","Riverside","High School","69","N/A","0","1.4","10.1","1.4","43.5","0","2.9","0","40.6","63.8","13.8","10","1.2","421","418","11110","61","12","9","1","0","0","6","9","79813"
"381","Hemet Unified","Hemet High","Riverside","High School","2318","6.6","1","1.8","5.9","0.9","46.9","0.5","2.5","0","40.6","69","23.9","11","7.1","439","428","11110","61","12","9","1","0","0","6","9","79813"
"382","Hemet Unified","West Valley High","Riverside","High School","1732","8","0.7","1.3","9","2","58.8","0.6","3.1","0","24.4","81.2","21.8","12","5.3","501","475","11110","61","12","9","1","0","0","6","9","79813"
"383","Hemet Unified","Hamilton High","Riverside","High School","299","7.4","4.3","1","1.3","0","39.1","1.3","0.7","1.3","50.8","80.3","13.1","14","4","465","461","11110","61","12","9","1","0","0","6","9","79813"
"384","Hemet Unified","Tahquitz High","Riverside","High School","1665","9.4","0.5","1.3","11.1","1.1","61.1","0.5","2.9","0.1","21.6","79.7","22.1","8","10","408","414","11110","61","12","9","1","0","0","6","9","79813"
"385","Hesperia Unified","Oak Hills High","San Bernardino","High School","2400","9.7","0.7","2","8.9","0.5","58.4","0.3","0.7","0.7","27.9","65.7","27.9","9","6.3","454","432","9816","64","11","7","0","0","0","7","10","75337"
"386","Hesperia Unified","Mirus Secondary","San Bernardino","High School","244","8.2","1.2","0.4","7.4","0.4","56.6","0.4","1.2","0.8","31.6","71.3","14.4","3","0.1","0","0","9816","64","11","7","0","0","0","7","10","75337"
"387","Hesperia Unified","Summit Leadership Academy-High Desert","San Bernardino","High School","178","21.3","0","0.6","3.9","0","70.2","0","0.6","2.2","22.5","74.2","14.8","1","5.3","0","0","9816","64","11","7","0","0","0","7","10","75337"
"388","Hesperia Unified","Sultana High","San Bernardino","High School","1962","12.9","0.7","0.5","5.7","0.5","59","0.4","1.6","0.7","31","70.1","24.7","12","6.5","476","448","9816","64","11","7","0","0","0","7","10","75337"
"389","Hesperia Unified","Hesperia High","San Bernardino","High School","2045","18.4","0.4","1.1","8.4","0.4","71.9","0.3","0.5","1.7","15.3","79.6","27.2","8","11.3","442","442","9816","64","11","7","0","0","0","7","10","75337"
"390","Hesperia Unified","Encore Jr./Sr. High School for the Performing and Visual Arts","San Bernardino","High School","1228","5.6","0.7","2.6","11.3","0.7","48.5","0.5","3.3","0","32.3","48.9","30","4","1","444","453","9816","64","11","7","0","0","0","7","10","75337"
"391","Hilmar Unified","Hilmar High","Merced","High School","647","16.1","0.6","0.6","0.3","0.2","36.9","0","0.2","0.5","60.7","53","19.6","14","10.9","460","454","9923","61","9","10","2","0","0","7","10","70268"
"392","Holtville Unified","Holtville High","Imperial","High School","528","24.8","0.2","0","0.4","0.2","82.6","0.2","2.1","0","14.4","61","24.2","9","3.6","441","438","10328","59","11","9","2","0","0","8","10","72674"
"393","Hughson Unified","Hughson High","Stanislaus","High School","712","9.8","0.4","0.7","0.1","0.1","49.3","0","1.3","0","48","40","20.1","13","3.8","494","487","10292","63","10","5","2","0","0","8","9","77777"
"394","Huntington Beach Union High","Ocean View High","Orange","High School","1498","21.2","1.7","7.9","1.6","1.1","58.1","0.6","0.9","0.6","27.3","55.1","23.8","9","3.5","468","461","10698","56","12","9","2","0","0","6","13","91005"
"395","Huntington Beach Union High","Fountain Valley High","Orange","High School","3558","4.7","1.3","51","1.3","1.2","12.8","0.9","1.1","0.8","29.6","26.7","28.4","9","0.7","576","539","10698","56","12","9","2","0","0","6","13","91005"
"396","Huntington Beach Union High","Westminster High","Orange","High School","2622","24.6","1.3","40.2","1","1","49.6","0.8","0.8","0.7","4.8","77.9","23.9","13","3.2","518","459","10698","56","12","9","2","0","0","6","13","91005"
"397","Huntington Beach Union High","Marina High","Orange","High School","2408","3.5","3.9","18.6","0.9","1.7","20","0.7","2.2","1.3","50.6","18.7","24.8","12","9.2","563","527","10698","56","12","9","2","0","0","6","13","91005"
"398","Huntington Beach Union High","Huntington Beach High","Orange","High School","2954","3.2","1.6","9.4","1.1","1.2","20.7","0.6","1.6","4.5","59.3","13.6","27.4","10","0.8","550","535","10698","56","12","9","2","0","0","6","13","91005"
"399","Huntington Beach Union High","Edison High","Orange","High School","2528","2.8","4.6","10.6","0.9","1.4","18.1","0.4","1.7","1.1","61.2","12.8","22.8","11","1.5","459","445","10698","56","12","9","2","0","0","6","13","91005"
"400","Imperial Unified","Imperial High","Imperial","High School","1172","6.4","0.3","1.5","1.7","0.9","79.6","0","0.4","0","15.6","44.9","24.3","12","1.2","489","476","9270","64","8","11","1","0","0","6","10","85175"
"401","Inglewood Unified","Animo Inglewood Charter High","Los Angeles","High School","642","12.3","0","0.2","11.1","0","87.9","0","0.8","0.2","0","91.3","22.1","4","3.6","494","458","11869","59","11","6","0","0","1","6","12","73263"
"402","Inglewood Unified","City Honors College Preparatory Academy","Los Angeles","High School","294","5.8","0","0.7","55.8","1.4","40.8","0.7","0.3","0.3","0","39.5","24.5","9","0","409","423","11869","59","11","6","0","0","1","6","12","73263"
"403","Inglewood Unified","Inglewood High","Los Angeles","High School","1050","19","0.2","0.6","37.7","0.6","60.4","0.3","0.1","0.1","0.1","50.1","18.4","11","8.5","376","374","11869","59","11","6","0","0","1","6","12","73263"
"404","Inglewood Unified","Morningside High School","Los Angeles","High School","897","25.4","0.8","0.1","27.5","0.1","69.1","1.6","0","0.2","0.6","71.6","22.5","11","9.5","367","373","11869","59","11","6","0","0","1","6","12","73263"
"405","Inyo County Office of Education","YouthBuild Charter School of California","Inyo","High School","1370","24.3","0","0.7","15.4","0.1","80.3","0.2","0.9","0.1","2.2","96.2","21.5","4","0","0","0","N/A","26","14","5","0","0","0","49","5","90054"
"406","Inyo County Office of Education","YouthBuild Charter School of California Central","Inyo","High School","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","26","14","5","0","0","0","49","5","90054"
"407","Inyo County Office of Education","College Bridge Academy","Inyo","High School","365","10.1","0","0","18.1","0.3","80.8","0","0.3","0.5","0","98.4","16.3","3","0","326","334","N/A","26","14","5","0","0","0","49","5","90054"
"408","Inyo County Office of Education","The Education Corps","Inyo","High School","274","13.5","0.4","0","14.2","0","81.4","0","0","3.3","0.7","100","22.8","5","0.2","0","0","N/A","26","14","5","0","0","0","49","5","90054"
"409","Irvine Unified","Irvine High","Orange","High School","2031","11.5","0.2","48.3","2.9","4.3","13.4","0.5","2.7","0.6","27","22.6","25.1","12","2.1","616","593","9488","62","13","9","0","0","0","3","10","79635"
"410","Irvine Unified","Woodbridge High","Orange","High School","2447","8.5","0.3","36.1","2.1","3.3","11.1","0.2","3.7","0.6","42.6","17.9","25","9","1.7","621","581","9488","62","13","9","0","0","0","3","10","79635"
"411","Irvine Unified","Northwood High","Orange","High School","2240","6.9","0.5","55.4","1.4","3.2","6.3","0.3","2.9","0.5","29.5","7.8","26.8","10","1.4","644","615","9488","62","13","9","0","0","0","3","10","79635"
"412","Irvine Unified","University High","Orange","High School","2617","10.2","0.3","46.2","2.3","2.8","8.8","0.3","4.3","0.1","35","16.9","26.3","12","0","657","619","9488","62","13","9","0","0","0","3","10","79635"
"413","Jefferson Union High","Summit Public School: Shasta","San Mateo","High School","325","5.2","0","18.5","2.2","8.3","27.1","0.6","10.5","11.4","21.5","32","21.7","1","1.8","N/A","N/A","11036","53","9","11","1","0","0","6","15","66327"
"414","Jefferson Union High","Westmoor High","San Mateo","High School","1669","15.9","0.1","25.5","1","43.3","18.8","0.4","5","0","6","38.8","22.4","14","4.2","546","501","11036","53","9","11","1","0","0","6","15","66327"
"415","Jefferson Union High","Terra Nova High","San Mateo","High School","1012","3.4","0.7","5.1","1.9","8.9","29.7","2.8","12.6","0","38.2","19.4","21.6","8","7.1","551","525","11036","53","9","11","1","0","0","6","15","66327"
"416","Jefferson Union High","Jefferson High","San Mateo","High School","1162","21.3","0.2","8.1","4.1","39.1","39.9","1.5","4.1","0","2.9","59","21.3","11","8.9","471","449","11036","53","9","11","1","0","0","6","15","66327"
"417","John Swett Unified","John Swett High","Contra Costa","High School","565","9.6","0.2","12.2","17.3","11.5","31","0.9","8","0.2","18.8","55.6","19.9","9","12.6","499","475","10719","64","10","6","1","0","0","10","9","62498"
"418","Julian Union High","Julian High","San Diego","High School","157","7.6","11.5","0.6","0","0.6","26.8","0","3.8","0","56.7","51.6","16","12","7.9","0","0","20807","59","7","8","2","0","0","14","9","N/A"
"419","Jurupa Unified","Patriot High","Riverside","High School","2130","16.6","0.1","1.7","2.8","0.5","76.5","0.5","0.6","0.3","16.9","62.4","24.5","13","4.6","479","448","10785","66","10","8","1","0","0","3","10","86129"
"420","Jurupa Unified","Rivercrest Preparatory","Riverside","High School","113","8","2.7","0.9","3.5","0.9","61.1","0","0","0","31","44.2","28.3","13","0.5","0","0","10785","66","10","8","1","0","0","3","10","86129"
"421","Jurupa Unified","Rubidoux High","Riverside","High School","1598","30.9","0.3","0.5","2.6","0.4","91.1","0.3","0.4","0","4.6","80.9","22.8","12","6.5","431","403","10785","66","10","8","1","0","0","3","10","86129"
"422","Jurupa Unified","Jurupa Valley High","Riverside","High School","1616","27.5","0.1","0.9","1.7","0.1","88.2","0.1","0.4","0.1","8.3","70","23.8","17","3.6","417","416","10785","66","10","8","1","0","0","3","10","86129"
"423","Kelseyville Unified","Kelseyville High","Lake","High School","524","5.9","1.7","1.7","1.7","0.6","38.4","0.2","3.2","0.4","52.1","72.5","21.5","16","6","443","444","11805","56","11","12","1","0","0","7","11","59950"
"424","Kerman Unified","Kerman High","Fresno","High School","1395","15","0.4","5.2","0.6","0","83.1","0","0.3","0.2","10.3","84.6","24.4","8","5.2","455","432","9058","54","9","8","1","0","0","7","21","66335"
"425","Kern High","Liberty High","Kern","High School","2043","1.6","0.7","2.2","2.7","2.3","33.5","0.1","2.3","0.5","55.7","20.1","19","6","5.2","518","497","11168","52","13","11","2","0","0","7","14","73350"
"426","Kern High","Bakersfield High","Kern","High School","2843","9.3","0.7","0.8","13.4","1.3","60.7","0.1","0.8","3.2","19","67.7","25.7","12","11.4","483","467","11168","52","13","11","2","0","0","7","14","73350"
"427","Kern High","Mira Monte High","Kern","High School","2159","19.2","0.4","1.3","5.1","0.2","88.6","0","0.1","0.6","3.7","91","25.9","7","8.5","415","402","11168","52","13","11","2","0","0","7","14","73350"
"428","Kern High","Foothill High","Kern","High School","1996","14.9","0.6","0.3","3.1","0.2","86.8","0.2","0.8","0.4","7.8","84","26","10","3.1","593","570","11168","52","13","11","2","0","0","7","14","73350"
"429","Kern High","West High","Kern","High School","2027","11.1","0.6","1.8","13.5","1.4","65.6","0.2","2.1","2.1","12.8","83.9","24.5","11","14","453","438","11168","52","13","11","2","0","0","7","14","73350"
"430","Kern High","Shafter High","Kern","High School","1486","23","0.1","0.6","0.4","0","90.4","0.1","0.6","0.1","7.7","79.8","29.3","10","7.8","453","437","11168","52","13","11","2","0","0","7","14","73350"
"431","Kern High","Kern Workforce 2000 Academy","Kern","High School","422","16.6","0.7","0.2","4.3","0","85.3","0","0.9","0.5","8.1","76.3","16.6","15","6.1","N/A","N/A","11168","52","13","11","2","0","0","7","14","73350"
"432","Kern High","Arvin High","Kern","High School","2512","24.2","0.1","0.2","0.2","0.1","94.6","0","0","2.4","2.4","87.7","25.5","10","7.8","423","422","11168","52","13","11","2","0","0","7","14","73350"
"433","Kern High","Kern Valley High","Kern","High School","463","0.6","3.7","0.6","1.5","0.2","12.3","0","4.3","0","77.3","65.4","18","11","14.1","473","465","11168","52","13","11","2","0","0","7","14","73350"
"434","Kern High","Golden Valley High","Kern","High School","2402","12.3","0.4","2.7","6.8","0.8","80.6","0.2","0.3","0.5","7.8","82","23.7","8","10.6","507","486","11168","52","13","11","2","0","0","7","14","73350"
"435","Kern High","South High","Kern","High School","1981","15","0.7","1.9","9.8","0.6","80.1","0.2","0.4","1","5.6","92.4","22.4","12","1.1","408","388","11168","52","13","11","2","0","0","7","14","73350"
"436","Kern High","Centennial High","Kern","High School","1992","2.2","1","2.8","2.4","2.1","31","0.2","1.9","0.8","57.9","24.2","20.4","14","7.8","450","440","11168","52","13","11","2","0","0","7","14","73350"
"437","Kern High","Ridgeview High","Kern","High School","2383","8.5","0.2","7.5","9.7","0.8","67","0.2","0.8","0.2","13.8","70.1","26.6","10","8.2","468","436","11168","52","13","11","2","0","0","7","14","73350"
"438","Kern High","East Bakersfield High","Kern","High School","2217","13.4","0.9","0.3","4.8","0.6","85.4","0.2","0.3","0.2","7.3","82.4","24.5","13","14.4","438","418","11168","52","13","11","2","0","0","7","14","73350"
"439","Kern High","Highland High","Kern","High School","1962","9.2","1.1","2","5.8","1.5","68.3","0.2","1.2","0.6","19.4","63.6","25.4","12","7.2","471","459","11168","52","13","11","2","0","0","7","14","73350"
"440","Kern High","Independence High","Kern","High School","2071","4.5","0.7","5.9","7.8","2.9","54.7","0.1","2.4","1.3","24.2","53.5","29.6","10","8.1","485","470","11168","52","13","11","2","0","0","7","14","73350"
"441","Kern High","Frontier High","Kern","High School","2320","1.5","0.7","3.3","2.5","3.6","32.2","0.4","1.7","1.4","54.2","22.9","28","13","5.1","508","487","11168","52","13","11","2","0","0","7","14","73350"
"442","Kern High","Stockdale High","Kern","High School","2110","2.2","0.7","13.1","6.6","4.8","39.1","0.1","3.5","0.7","31.3","32.6","27.6","15","4.6","535","508","11168","52","13","11","2","0","0","7","14","73350"
"443","Kern High","North High","Kern","High School","1637","2.8","1.2","0.4","3.2","0.6","27.4","0.2","1.2","1.6","64.3","75.9","24.5","12","2.4","506","471","11168","52","13","11","2","0","0","7","14","73350"
"444","Kings Canyon Joint Unified","Dunlap Leadership Academy","Fresno","High School","79","3.8","0","2.5","0","0","58.2","0","3.8","0","35.4","73.4","19.8","5","1.4","N/A","N/A","10635","55","13","12","2","0","0","6","11","69005"
"445","Kings Canyon Joint Unified","Reedley Middle College High","Fresno","High School","126","N/A","0","2.4","0","0.8","83.3","0","0.8","0","12.7","85.7","63","8","2.3","0","0","10635","55","13","12","2","0","0","6","11","69005"
"446","Kings Canyon Joint Unified","Reedley High","Fresno","High School","1737","9.7","0.5","1.7","0.2","0.7","83.8","0.1","0.9","0.2","12.1","79.2","23","12","7.8","440","431","10635","55","13","12","2","0","0","6","11","69005"
"447","Kings Canyon Joint Unified","Orange Cove High","Fresno","High School","631","17.4","0","0.8","0","0","98.3","0","0","0","1","95.2","22.6","10","5.2","422","415","10635","55","13","12","2","0","0","6","11","69005"
"448","Kingsburg Joint Union High","Kingsburg High","Fresno","High School","1117","5.4","0.4","3.4","0.8","0.1","59","0","2.3","0.8","33.1","44.9","21.4","11","3.4","463","456","10698","59","8","9","2","0","0","6","12","78441"
"449","Klamath-Trinity Joint Unified","Hoopa Valley High","Humboldt","High School","252","N/A","83.7","0.4","0.4","0.4","3.6","0","2","0","9.5","73","14","9","11.1","443","407","16795","56","13","9","1","0","0","10","11","56652"
"450","Konocti Unified","Lower Lake High","Lake","High School","839","15.5","3.3","0.2","4.4","0.2","40","0.4","6.1","0.4","44.9","78.5","20.7","9","14.4","437","446","11377","58","11","12","1","0","0","6","12","56590"
"451","La Canada Unified","La Canada High","Los Angeles","High School","2075","3.1","0.3","28","0.6","1","11.6","0","6.3","0","52.3","1.4","24.1","10","1.7","632","597","10576","62","12","6","0","0","0","8","12","79872"
"452","La Honda-Pescadero Unified","Pescadero High","San Mateo","High School","96","45.8","0","0","1","0","71.9","0","2.1","0","25","62.5","12.4","10","0","0","0","16882","57","14","5","2","0","0","11","9","65831"
"453","Laguna Beach Unified","Laguna Beach High","Orange","High School","1103","1.5","0.6","3","0.8","0.4","10.3","0.5","2.4","0.5","81.4","7.4","21.6","8","2.6","529","535","16941","57","11","9","2","0","0","8","12","97714"
"454","Lake Elsinore Unified","Lakeside High","Riverside","High School","1907","9.3","0.5","2","5","1.4","69","0.4","1","0","20.6","76.1","22.1","10","5.8","459","446","9574","64","8","8","1","0","1","5","11","84701"
"455","Lake Elsinore Unified","Temescal Canyon High","Riverside","High School","2221","3","0.7","3.1","5.5","2.9","45.5","0.5","1.1","0","40.7","52.4","23.5","12","8","504","475","9574","64","8","8","1","0","1","5","11","84701"
"456","Lake Elsinore Unified","Elsinore High","Riverside","High School","2041","4.8","1","1.9","5","2.4","51.3","0.4","1.6","0","36.3","61","22.9","13","5.8","482","462","9574","64","8","8","1","0","1","5","11","84701"
"457","Lake Tahoe Unified","South Tahoe High","El Dorado","High School","1047","16.2","0.7","1.8","0.9","5.1","37.5","0.2","1.1","1.1","51.8","47.5","20.4","13","4.9","508","492","10701","65","10","8","1","0","0","6","11","72661"
"458","Lakeport Unified","Clear Lake High","Lake","High School","397","2.3","6","1.3","0.8","2","28","0","3.8","0","58.2","46.1","22.7","12","3.5","507","472","9944","59","13","7","2","0","0","8","9","60312"
"459","Lakeside Union Elementary","River Valley Charter","San Diego","High School","272","N/A","3.3","4","0.7","1.8","16.9","0.4","1.5","0.7","70.6","5.9","19.2","6","0","546","566","10085","67","7","7","0","0","0","8","10","52582"
"460","Lakeside Union Elementary","River Valley Charter","San Diego","High School","272","N/A","3.3","4","0.7","1.8","16.9","0.4","1.5","0.7","70.6","5.9","19.2","6","0","546","566","10276","53","9","8","0","0","0","12","17","71768"
"461","Lammersville Joint Unified","Mountain House High","San Joaquin","High School","823","4.5","0.5","23.2","9.1","16.3","19.6","1","4.6","1","24.8","16","22.2","2","4.5","507","463","8256","61","13","5","3","0","0","6","10","59686"
"462","Las Virgenes Unified","Calabasas High","Los Angeles","High School","1903","2.5","0.4","5.7","4.6","0.9","7.9","0.7","1.3","0.2","78.3","8.4","26.4","8","1","576","582","9511","65","12","8","1","0","0","4","9","75700"
"463","Las Virgenes Unified","Agoura High","Los Angeles","High School","2075","1.2","0.6","6.6","1.4","0.8","10.4","0","2.7","0","77.3","7","24.7","10","1.4","568","554","9511","65","12","8","1","0","0","4","9","75700"
"464","Lassen Union High","Lassen High","Lassen","High School","829","4","7.8","1","1.6","1.2","15.4","2.2","0.1","0.1","70.6","30.4","22","13","9.7","500","478","11372","49","10","12","4","0","0","10","14","67566"
"465","Laton Joint Unified","Laton High","Fresno","High School","190","25.8","0","0","1.1","0","81.6","0","0","3.2","14.2","83.2","13.7","4","0","0","0","11725","57","9","7","1","0","0","9","18","54254"
"466","Lawndale Elementary","Environmental Charter High","Los Angeles","High School","515","8","0","2.5","10.9","1.7","75.7","0","0.4","4.7","4.1","80.4","18.1","4","2.3","443","460","11007","67","10","7","0","0","0","7","8","83062"
"467","Laytonville Unified","Laytonville High","Mendocino","High School","115","3.5","14.8","0.9","0","0","11.3","0","5.2","0","67.8","65.2","11.1","11","5","0","0","12769","55","13","8","3","0","0","10","11","55274"
"468","Le Grand Union High","Le Grand High","Merced","High School","465","21.5","0.4","0.6","0.2","0","84.3","0","0.2","7.5","6.7","77.6","17.8","11","5.4","408","403","13764","54","8","8","1","0","0","11","14","N/A"
"469","Leggett Valley Unified","Whale Gulch High","Mendocino","High School","9","N/A","0","0","0","0","11.1","0","0","0","88.9","0","4.5","6","7.1","0","0","18237","52","9","8","1","0","0","12","18","49869"
"470","Leggett Valley Unified","Leggett Valley High","Mendocino","High School","14","N/A","7.1","0","0","0","21.4","7.1","0","0","64.3","92.9","6.2","15","28.6","N/A","N/A","18237","52","9","8","1","0","0","12","18","49869"
"471","Lemoore Union High","Lemoore High","Kings","High School","1956","8.7","3.7","1.2","6.5","5.7","54.8","0.6","1.3","0","26.2","51.6","22.8","12","11.3","476","462","10387","52","8","12","3","0","0","8","14","69427"
"472","Lemoore Union High","Lemoore Middle College High","Kings","High School","244","4.5","0.4","4.5","1.6","4.1","43","0","1.6","0","44.7","21.7","18.3","10","2","492","496","10387","52","8","12","3","0","0","8","14","69427"
"473","Lennox","Animo Leadership High","Los Angeles","High School","638","14.1","0","0.3","0.9","0","97.5","0","0","0.3","0.9","93.6","22.8","5","3.5","421","418","13154","61","11","5","0","0","0","9","12","86424"
"474","Lennox","Lennox Mathematics, Science and Technology Academy","Los Angeles","High School","563","10.8","0","0","0.4","0","71.4","0.2","0.2","27.7","0.2","95","21.7","7","0.9","445","440","13154","61","11","5","0","0","0","9","12","86424"
"475","Liberty Union High","Liberty High","Contra Costa","High School","2499","8.2","0.6","1.7","6.2","2.1","36.8","0.4","7.4","0.3","44.5","32.8","21.8","10","7.1","486","482","9526","60","13","5","0","0","0","4","11","74076"
"476","Liberty Union High","Heritage High","Contra Costa","High School","2561","3.2","0.3","6.2","9.4","8.9","22.4","0.7","3.3","0","48.7","14.9","23.9","8","3.4","450","436","9526","60","13","5","0","0","0","4","11","74076"
"477","Liberty Union High","Freedom High","Contra Costa","High School","2624","7.4","0.5","2.9","10.8","5.4","41","0.8","1.6","0.2","36.8","35.3","23.4","10","6.6","469","461","9526","60","13","5","0","0","0","4","11","74076"
"478","Lincoln Unified","Lincoln High","San Joaquin","High School","2839","9.4","0.5","9.2","11.3","5.1","43.2","1.4","2.4","0","26.9","52","18.5","12","7","486","465","9327","63","7","8","1","0","0","5","15","69019"
"479","Linden Unified","Linden High","San Joaquin","High School","690","8.1","0.7","2.5","1","1.4","52.5","0.4","1.2","0","40.3","51.6","21.1","9","6.7","466","456","10083","59","9","8","0","0","0","8","13","68713"
"480","Lindsay Unified","Lindsay Senior High","Tulare","High School","1090","35","0.3","2","0.2","0.1","92.7","0.2","0","0","4.6","86","22.4","9","12.2","391","407","11870","56","17","8","0","0","0","6","11","70180"
"481","Live Oak Elementary","Cypress Charter High","Santa Cruz","High School","156","2.6","2.6","1.3","3.2","1.3","17.3","0","0.6","1.9","71.8","14.7","15","6","0.6","0","0","10662","63","14","5","0","0","0","10","8","65084"
"482","Live Oak Unified","Live Oak High","Sutter","High School","506","3.4","0.6","14.8","0","0.2","56.9","0.2","0","0","27.3","74.1","23.1","9","3.5","467","458","9774","57","9","10","1","1","0","7","11","68387"
"483","Livermore Valley Joint Unified","Granada High","Alameda","High School","2059","4.7","0.3","6.7","1.6","3.3","24.6","0.3","7.2","0.1","55.9","15.1","22.6","10","3.4","561","544","10203","62","13","8","1","0","0","5","9","75464"
"484","Livermore Valley Joint Unified","Livermore Valley Charter Preparatory High","Alameda","High School","424","2.1","0","7.5","1.9","1.7","24.1","0","7.5","15.3","42","10.1","16.3","3","7.3","501","511","10203","62","13","8","1","0","0","5","9","75464"
"485","Livermore Valley Joint Unified","Livermore High","Alameda","High School","1794","6.7","0.3","5.7","1.8","3.3","29.3","0.5","6.1","0.3","52.7","20.3","22","11","2.9","555","545","10203","62","13","8","1","0","0","5","9","75464"
"486","Lodi Unified","Tokay High","San Joaquin","High School","2042","19.7","0.5","8.6","1.8","1.9","55.5","0.3","0.5","1.2","29.7","60.5","22","13","5.2","500","486","10807","66","10","8","0","0","0","5","10","70254"
"487","Lodi Unified","Bear Creek High","San Joaquin","High School","1975","9.7","0.4","18.9","15","12.4","33","1.5","0.9","1.7","16.3","59.7","21","12","6.1","489","456","10807","66","10","8","0","0","0","5","10","70254"
"488","Lodi Unified","Ronald E. McNair High","San Joaquin","High School","1659","21","0.3","37.8","11.2","7","34.9","1.9","0.4","0.9","5.7","75.5","21.3","8","9","456","426","10807","66","10","8","0","0","0","5","10","70254"
"489","Lodi Unified","Aspire Benjamin Holt College Preparatory Academy","San Joaquin","High School","730","2.5","0.5","18.6","5.2","4.5","38.5","0.7","4.5","0","27.4","34.1","31.3","5","4","499","480","10807","66","10","8","0","0","0","5","10","70254"
"490","Lodi Unified","Lodi High","San Joaquin","High School","2057","13.2","0.6","3.3","0.8","0.9","41.9","0.1","1.1","0.7","50.6","47.7","21.8","13","6.5","531","500","10807","66","10","8","0","0","0","5","10","70254"
"491","Lodi Unified","Middle College High","San Joaquin","High School","246","0.8","1.2","45.5","3.3","11.8","24","1.6","0","3.7","8.9","42.7","27.8","17","5.2","N/A","N/A","10807","66","10","8","0","0","0","5","10","70254"
"492","Lompoc Unified","Cabrillo High","Santa Barbara","High School","1463","9.4","0.8","2.5","3.3","1.8","43.9","0.3","6.2","0","41.4","41.1","22.4","12","4.3","387","381","9740","60","9","8","1","0","0","7","10","73517"
"493","Lompoc Unified","Lompoc High","Santa Barbara","High School","1398","22","0.9","1.6","3.9","0.6","76.9","0.5","3.6","0","12","70.7","21.4","13","4.3","466","452","9740","60","9","8","1","0","0","7","10","73517"
"494","Lone Pine Unified","Lone Pine High","Inyo","High School","105","21","12.4","2.9","1","0","41.9","0","4.8","0","37.1","47.6","15.8","9","2.7","516","525","17205","48","6","7","2","0","0","10","14","66335"
"495","Long Beach Unified","Clear Passage Educational Center","Los Angeles","High School","4","N/A","0","0","50","0","50","0","0","0","0","0","2","1","0","N/A","N/A","11073","65","11","7","0","1","0","4","12","89097"
